access_id|access_userid|access_username|access_time|access_event
58|ADMIN|ComSec2017 Admin|12/10/2017 13:52|Login
59|ADMIN|ComSec2017 Admin|12/10/2017 13:53|Login
60|ADMIN|ComSec2017 Admin|12/10/2017 14:14|Logout
61|ADMIN|ComSec2017 Admin|12/10/2017 14:15|Login
62|ADMIN|ComSec2017 Admin|12/10/2017 14:22|Login
63|ADMIN|ComSec2017 Admin|12/10/2017 14:36|Logout
64|ADMIN|ComSec2017 Admin|12/10/2017 14:36|Login
906|HANA|HANA|17/01/2018 9:03|Login
912|TSY|Shi Yun|17/01/2018 9:28|Login
921|SZE|Sze Sze|17/01/2018 11:24|Login
65|ADMIN|ComSec2017 Admin|12/10/2017 16:19|Logout
66|SZE|Sze Sze|12/10/2017 16:19|Login
67|SZE|Sze Sze|12/10/2017 16:22|Logout
68|ADMIN|ComSec2017 Admin|12/10/2017 16:23|Login
69|ADMIN|ComSec2017 Admin|12/10/2017 16:24|Logout
70|SZE|Sze Sze|12/10/2017 16:25|Login
926|SHELA|SHELA|17/01/2018 13:25|Login
71|SZE|Sze Sze|12/10/2017 19:29|Login
72|SZE|Sze Sze|13/10/2017 8:29|Login
73|SZE|Sze Sze|13/10/2017 13:07|Logout
74|SZE|Sze Sze|13/10/2017 13:10|Login
75|SZE|Sze Sze|13/10/2017 18:17|Logout
76|SZE|Sze Sze|16/10/2017 8:37|Login
77|TSY|Shi Yun|16/10/2017 13:12|Login
78|TSY|Shi Yun|16/10/2017 13:58|Logout
79|ADMIN|ComSec2017 Admin|16/10/2017 15:47|Login
80|ADMIN|ComSec2017 Admin|16/10/2017 15:56|Logout
81|ADMIN|ComSec2017 Admin|16/10/2017 15:57|Login
82|SZE|Sze Sze|16/10/2017 17:59|Login
83|SZE|Sze Sze|17/10/2017 8:34|Login
84|SZE|Sze Sze|17/10/2017 14:03|Login
85|SZE|Sze Sze|17/10/2017 14:17|Login
86|SZE|Sze Sze|17/10/2017 14:37|Login
87|SZE|Sze Sze|17/10/2017 14:44|Logout
88|TSY|Shi Yun|17/10/2017 15:49|Login
89|TSY|Shi Yun|17/10/2017 15:52|Logout
90|SZE|Sze Sze|19/10/2017 8:34|Login
91|SZE|Sze Sze|19/10/2017 8:56|Login
92|SZE|Sze Sze|19/10/2017 8:57|Logout
93|TSY|Shi Yun|19/10/2017 13:11|Login
94|SZE|Sze Sze|19/10/2017 13:19|Login
934|TSY|Shi Yun|17/01/2018 14:08|Logout
95|TSY|Shi Yun|19/10/2017 14:00|Logout
96|SZE|Sze Sze|19/10/2017 14:05|Login
97|SZE|Sze Sze|19/10/2017 14:13|Logout
944|HANA|HANA|17/01/2018 15:40|Login
98|TSY|Shi Yun|20/10/2017 8:30|Login
99|TSY|Shi Yun|20/10/2017 8:31|Logout
100|SZE|Sze Sze|20/10/2017 8:36|Login
101|SZE|Sze Sze|20/10/2017 10:06|Login
102|SZE|Sze Sze|20/10/2017 10:10|Login
103|SZE|Sze Sze|20/10/2017 10:10|Logout
950|HANA|HANA|17/01/2018 16:00|Login
962|SZE|Sze Sze|18/01/2018 9:07|Login
104|SZE|Sze Sze|20/10/2017 13:35|Logout
105|SZE|Sze Sze|20/10/2017 13:40|Login
106|SZE|Sze Sze|20/10/2017 15:36|Login
107|ADMIN|ComSec2017 Admin|20/10/2017 16:25|Login
108|SZE|Sze Sze|20/10/2017 17:53|Login
109|SZE|Sze Sze|20/10/2017 18:15|Logout
110|SZE|Sze Sze|20/10/2017 18:16|Login
111|SZE|Sze Sze|20/10/2017 18:22|Logout
112|SZE|Sze Sze|23/10/2017 8:30|Login
113|SZE|Sze Sze|23/10/2017 13:35|Login
114|SZE|Sze Sze|23/10/2017 14:46|Login
972|TSY|Shi Yun|18/01/2018 12:51|Logout
115|SZE|Sze Sze|23/10/2017 15:21|Logout
116|SZE|Sze Sze|23/10/2017 15:22|Login
117|SZE|Sze Sze|23/10/2017 17:19|Login
118|SZE|Sze Sze|23/10/2017 17:22|Login
119|SZE|Sze Sze|23/10/2017 17:46|Login
120|SZE|Sze Sze|23/10/2017 18:09|Login
121|SZE|Sze Sze|24/10/2017 8:30|Login
122|SZE|Sze Sze|24/10/2017 8:35|Login
123|SZE|Sze Sze|24/10/2017 14:17|Login
124|SZE|Sze Sze|24/10/2017 16:37|Login
125|SZE|Sze Sze|24/10/2017 17:18|Login
126|SZE|Sze Sze|25/10/2017 8:39|Login
127|SZE|Sze Sze|25/10/2017 9:14|Login
128|SZE|Sze Sze|25/10/2017 9:26|Login
129|SZE|Sze Sze|25/10/2017 15:05|Login
130|SZE|Sze Sze|25/10/2017 15:08|Login
131|SZE|Sze Sze|25/10/2017 15:26|Login
132|SZE|Sze Sze|25/10/2017 15:40|Login
133|SZE|Sze Sze|26/10/2017 8:25|Login
134|SZE|Sze Sze|26/10/2017 13:43|Login
135|SZE|Sze Sze|26/10/2017 14:08|Logout
136|SZE|Sze Sze|26/10/2017 14:08|Login
137|SZE|Sze Sze|26/10/2017 14:13|Login
138|SZE|Sze Sze|26/10/2017 14:22|Login
139|SZE|Sze Sze|26/10/2017 14:26|Logout
140|SZE|Sze Sze|27/10/2017 8:37|Login
141|SZE|Sze Sze|27/10/2017 10:02|Login
142|SZE|Sze Sze|28/10/2017 13:56|Login
143|SZE|Sze Sze|30/10/2017 8:33|Login
144|SZE|Sze Sze|31/10/2017 8:33|Login
145|SZE|Sze Sze|01/11/2017 8:40|Login
146|SZE|Sze Sze|01/11/2017 17:16|Login
147|SZE|Sze Sze|02/11/2017 8:32|Login
148|SZE|Sze Sze|02/11/2017 16:10|Login
149|SZE|Sze Sze|03/11/2017 8:36|Login
150|SZE|Sze Sze|04/11/2017 8:34|Login
151|SZE|Sze Sze|06/11/2017 8:32|Login
152|SZE|Sze Sze|06/11/2017 8:52|Login
153|SZE|Sze Sze|06/11/2017 8:56|Login
154|SZE|Sze Sze|06/11/2017 9:00|Login
155|SZE|Sze Sze|07/11/2017 8:33|Login
156|SZE|Sze Sze|08/11/2017 8:34|Login
157|SZE|Sze Sze|09/11/2017 8:26|Login
158|SZE|Sze Sze|10/11/2017 8:34|Login
159|SZE|Sze Sze|10/11/2017 15:12|Login
160|SZE|Sze Sze|13/11/2017 8:32|Login
161|SZE|Sze Sze|13/11/2017 11:27|Login
162|SZE|Sze Sze|13/11/2017 11:38|Login
163|SZE|Sze Sze|13/11/2017 16:57|Login
164|SZE|Sze Sze|13/11/2017 17:26|Logout
165|SZE|Sze Sze|13/11/2017 17:27|Login
166|SZE|Sze Sze|13/11/2017 17:29|Logout
167|SZE|Sze Sze|14/11/2017 8:32|Login
168|SZE|Sze Sze|15/11/2017 8:34|Login
169|SZE|Sze Sze|15/11/2017 10:57|Login
170|SZE|Sze Sze|16/11/2017 8:31|Login
171|SZE|Sze Sze|16/11/2017 17:22|Login
172|SZE|Sze Sze|16/11/2017 17:24|Logout
173|TSY|Shi Yun|16/11/2017 17:26|Login
174|TSY|Shi Yun|16/11/2017 17:28|Logout
175|TSY|Shi Yun|16/11/2017 17:30|Login
176|TSY|Shi Yun|16/11/2017 17:31|Logout
177|TSY|Shi Yun|16/11/2017 17:34|Login
178|TSY|Shi Yun|16/11/2017 17:37|Logout
179|SZE|Sze Sze|17/11/2017 8:39|Login
180|SZE|Sze Sze|20/11/2017 8:32|Login
181|SZE|Sze Sze|20/11/2017 10:12|Login
182|SZE|Sze Sze|20/11/2017 10:13|Logout
183|ROSSY|ROSSY|20/11/2017 10:13|Login
184|ROSSY|ROSSY|20/11/2017 10:14|Logout
185|SZE|Sze Sze|20/11/2017 10:14|Login
186|SZE|Sze Sze|20/11/2017 10:15|Logout
187|ROSSY|ROSSY|20/11/2017 10:15|Login
188|ROSSY|ROSSY|20/11/2017 10:16|Logout
189|SZE|Sze Sze|20/11/2017 11:20|Login
190|SZE|Sze Sze|20/11/2017 11:23|Logout
191|SZE|Sze Sze|20/11/2017 13:52|Login
192|SZE|Sze Sze|20/11/2017 17:47|Login
193|SZE|Sze Sze|20/11/2017 18:22|Logout
194|SZE|Sze Sze|21/11/2017 8:33|Login
195|SZE|Sze Sze|21/11/2017 16:25|Login
196|SZE|Sze Sze|21/11/2017 16:42|Login
197|SZE|Sze Sze|21/11/2017 16:42|Login
198|SZE|Sze Sze|21/11/2017 16:46|Login
891|ROSSY|ROSSY|16/01/2018 17:09|Login
899|TSY|Shi Yun|16/01/2018 18:20|Login
199|SZE|Sze Sze|21/11/2017 16:52|Logout
200|SZE|Sze Sze|22/11/2017 8:36|Login
201|SZE|Sze Sze|22/11/2017 8:53|Login
202|SZE|Sze Sze|22/11/2017 9:06|Login
203|SZE|Sze Sze|22/11/2017 10:00|Login
204|SZE|Sze Sze|22/11/2017 10:07|Login
205|SZE|Sze Sze|22/11/2017 10:09|Logout
206|ROSSY|ROSSY|22/11/2017 10:52|Login
207|ADMIN|ComSec2017 Admin|22/11/2017 11:45|Login
208|ADMIN|ComSec2017 Admin|22/11/2017 11:47|Logout
209|ROSSY|ROSSY|22/11/2017 12:15|Login
210|ROSSY|ROSSY|22/11/2017 12:23|Logout
211|ROSSY|ROSSY|22/11/2017 12:24|Login
212|SZE|Sze Sze|22/11/2017 14:26|Login
213|ROSSY|ROSSY|22/11/2017 14:41|Login
214|SZE|Sze Sze|22/11/2017 14:41|Login
215|ROSSY|ROSSY|22/11/2017 14:43|Login
907|ROSSY|ROSSY|17/01/2018 9:09|Login
216|SZE|Sze Sze|22/11/2017 14:43|Logout
217|ROSSY|ROSSY|22/11/2017 14:46|Login
218|ROSSY|ROSSY|22/11/2017 15:11|Login
219|SZE|Sze Sze|22/11/2017 15:23|Login
220|SZE|Sze Sze|22/11/2017 15:25|Logout
221|SZE|Sze Sze|22/11/2017 16:45|Login
222|SZE|Sze Sze|22/11/2017 16:56|Login
223|SZE|Sze Sze|22/11/2017 17:02|Logout
224|ROSSY|ROSSY|22/11/2017 17:02|Login
225|ROSSY|ROSSY|22/11/2017 18:31|Logout
226|ROSSY|ROSSY|23/11/2017 8:59|Login
227|SZE|Sze Sze|23/11/2017 9:01|Login
228|SZE|Sze Sze|23/11/2017 10:30|Login
229|SZE|Sze Sze|27/11/2017 10:01|Login
230|TSY|Shi Yun|27/11/2017 10:06|Login
231|TSY|Shi Yun|27/11/2017 10:07|Logout
913|FATIN|FATIN|17/01/2018 10:03|Login
232|SZE|Sze Sze|27/11/2017 14:41|Login
233|SZE|Sze Sze|28/11/2017 9:52|Login
234|SZE|Sze Sze|28/11/2017 18:16|Logout
235|TSY|Shi Yun|29/11/2017 8:46|Login
236|TSY|Shi Yun|29/11/2017 8:49|Logout
237|TSY|Shi Yun|29/11/2017 9:44|Login
238|SZE|Sze Sze|29/11/2017 9:48|Login
922|IRINA|IRINA|17/01/2018 11:26|Login
239|TSY|Shi Yun|29/11/2017 9:52|Login
240|TSY|Shi Yun|29/11/2017 9:53|Logout
241|TSY|Shi Yun|29/11/2017 13:06|Login
242|TSY|Shi Yun|29/11/2017 13:08|Logout
243|TSY|Shi Yun|29/11/2017 16:05|Login
244|TSY|Shi Yun|29/11/2017 16:12|Logout
927|SHELA|SHELA|17/01/2018 13:44|Login
245|TSY|Shi Yun|30/11/2017 14:07|Login
246|TSY|Shi Yun|30/11/2017 14:10|Logout
247|SZE|Sze Sze|30/11/2017 14:16|Login
248|SZE|Sze Sze|04/12/2017 9:21|Login
249|SZE|Sze Sze|05/12/2017 7:54|Login
250|ROSSY|ROSSY|05/12/2017 16:39|Login
251|SZE|Sze Sze|05/12/2017 18:33|Login
252|SZE|Sze Sze|06/12/2017 7:54|Login
253|ROSSY|ROSSY|07/12/2017 10:32|Login
254|ROSSY|ROSSY|07/12/2017 10:46|Login
255|SZE|Sze Sze|07/12/2017 13:22|Login
256|ROSSY|ROSSY|07/12/2017 16:49|Login
257|SZE|Sze Sze|08/12/2017 9:22|Login
258|TSY|Shi Yun|08/12/2017 17:35|Login
259|TSY|Shi Yun|08/12/2017 17:42|Login
260|TSY|Shi Yun|08/12/2017 17:44|Login
261|TSY|Shi Yun|08/12/2017 17:45|Logout
262|TSY|Shi Yun|08/12/2017 18:02|Login
263|TSY|Shi Yun|09/12/2017 9:22|Login
264|TSY|Shi Yun|09/12/2017 9:22|Logout
265|TSY|Shi Yun|09/12/2017 9:23|Login
266|TSY|Shi Yun|09/12/2017 9:51|Login
267|TSY|Shi Yun|09/12/2017 9:52|Logout
268|TSY|Shi Yun|09/12/2017 9:59|Login
269|TSY|Shi Yun|09/12/2017 9:59|Logout
270|TSY|Shi Yun|09/12/2017 10:01|Login
271|TSY|Shi Yun|09/12/2017 10:01|Logout
272|TSY|Shi Yun|09/12/2017 10:03|Login
273|TSY|Shi Yun|09/12/2017 10:03|Logout
274|TSY|Shi Yun|09/12/2017 10:04|Login
275|TSY|Shi Yun|09/12/2017 10:04|Logout
276|TSY|Shi Yun|09/12/2017 10:05|Login
277|TSY|Shi Yun|09/12/2017 10:05|Logout
278|TSY|Shi Yun|09/12/2017 10:07|Login
279|TSY|Shi Yun|09/12/2017 10:07|Logout
280|TSY|Shi Yun|09/12/2017 10:42|Login
281|TSY|Shi Yun|09/12/2017 10:44|Logout
282|TSY|Shi Yun|09/12/2017 10:50|Login
283|TSY|Shi Yun|09/12/2017 11:01|Logout
284|TSY|Shi Yun|09/12/2017 11:03|Login
285|TSY|Shi Yun|09/12/2017 11:20|Logout
286|TSY|Shi Yun|09/12/2017 11:35|Login
287|TSY|Shi Yun|09/12/2017 11:40|Login
288|TSY|Shi Yun|09/12/2017 11:40|Logout
289|TSY|Shi Yun|09/12/2017 11:41|Login
900|TSY|Shi Yun|16/01/2018 19:13|Logout
908|ROSSY|ROSSY|17/01/2018 9:18|Logout
290|TSY|Shi Yun|09/12/2017 11:42|Logout
291|TSY|Shi Yun|09/12/2017 11:43|Login
292|TSY|Shi Yun|09/12/2017 11:44|Logout
293|TSY|Shi Yun|09/12/2017 11:44|Login
294|TSY|Shi Yun|09/12/2017 11:45|Logout
295|LKI|Kooi Im|09/12/2017 11:50|Login
296|LKI|Kooi Im|09/12/2017 11:50|Logout
297|SZE|Sze Sze|09/12/2017 11:54|Login
298|LKI|Kooi Im|09/12/2017 12:03|Login
914|TSY|Shi Yun|17/01/2018 10:05|Login
299|IRINA|IRINA|09/12/2017 12:07|Login
923|SHELA|SHELA|17/01/2018 11:39|Login
928|HANA|HANA|17/01/2018 13:45|Login
945|HANA|HANA|17/01/2018 15:47|Login
951|SZE|Sze Sze|17/01/2018 16:10|Login
300|HANA|HANA|09/12/2017 12:14|Login
956|LKI|Lia|17/01/2018 19:31|Login
963|FATIN|FATIN|18/01/2018 9:11|Login
301|LKI|Kooi Im|09/12/2017 12:16|Login
302|ROSSY|ROSSY|09/12/2017 12:16|Login
303|SZE|Sze Sze|09/12/2017 12:36|Login
304|LKI|Kooi Im|09/12/2017 12:48|Login
973|TSY|Shi Yun|18/01/2018 12:51|Login
305|LKI|Kooi Im|09/12/2017 13:05|Logout
306|FATIN|FATIN|09/12/2017 13:06|Login
307|FATIN|FATIN|09/12/2017 13:06|Logout
308|FATIN|FATIN|11/12/2017 9:47|Login
309|SZE|Sze Sze|11/12/2017 11:04|Login
310|FATIN|FATIN|11/12/2017 15:26|Login
311|FATIN|FATIN|11/12/2017 15:37|Logout
312|SZE|Sze Sze|11/12/2017 16:07|Login
979|SZE|Sze Sze|18/01/2018 13:09|Login
313|FATIN|FATIN|12/12/2017 8:28|Login
314|FATIN|FATIN|12/12/2017 8:42|Logout
315|FATIN|FATIN|12/12/2017 8:42|Login
316|FATIN|FATIN|12/12/2017 8:45|Logout
317|FATIN|FATIN|12/12/2017 8:45|Login
318|ROSSY|ROSSY|12/12/2017 8:49|Login
319|FATIN|FATIN|12/12/2017 9:38|Login
320|TSY|Shi Yun|12/12/2017 9:39|Login
985|TSY|Shi Yun|18/01/2018 14:38|Logout
321|FATIN|FATIN|12/12/2017 9:39|Login
322|IRINA|IRINA|12/12/2017 9:41|Login
989|TSY|Shi Yun|18/01/2018 14:42|Logout
323|IRINA|IRINA|12/12/2017 9:52|Logout
324|SZE|Sze Sze|12/12/2017 11:51|Login
325|FATIN|FATIN|12/12/2017 12:00|Login
993|SZE|Sze Sze|18/01/2018 15:42|Login
326|SZE|Sze Sze|12/12/2017 16:15|Login
327|HANA|HANA|12/12/2017 16:40|Login
328|HANA|HANA|12/12/2017 17:09|Logout
329|SZE|Sze Sze|13/12/2017 8:56|Login
330|LKI|Kooi Im|13/12/2017 19:13|Login
331|LKI|Kooi Im|13/12/2017 19:19|Logout
332|SZE|Sze Sze|14/12/2017 10:26|Login
333|FATIN|FATIN|14/12/2017 11:05|Login
334|TSY|Shi Yun|14/12/2017 13:57|Login
335|TSY|Shi Yun|14/12/2017 14:00|Logout
336|SZE|Sze Sze|14/12/2017 14:12|Login
337|IRINA|IRINA|14/12/2017 14:14|Login
338|IRINA|IRINA|14/12/2017 15:36|Login
339|SZE|Sze Sze|15/12/2017 13:45|Login
340|LKI|Kooi Im|15/12/2017 14:27|Login
341|LKI|Kooi Im|15/12/2017 14:36|Logout
342|TSY|Shi Yun|16/12/2017 12:25|Login
343|TSY|Shi Yun|16/12/2017 12:25|Logout
344|SZE|Sze Sze|19/12/2017 8:43|Login
345|FATIN|FATIN|19/12/2017 8:58|Login
346|IRINA|IRINA|19/12/2017 9:51|Login
347|TSY|Shi Yun|19/12/2017 16:09|Login
348|TSY|Shi Yun|19/12/2017 16:13|Logout
349|IDAH|Norfaidah|19/12/2017 16:42|Login
350|IDAH|Norfaidah|19/12/2017 16:45|Logout
351|IRINA|IRINA|19/12/2017 16:45|Login
997|FATIN|FATIN|18/01/2018 16:20|Login
352|IDAH|Norfaidah|19/12/2017 16:45|Login
353|IRINA|IRINA|19/12/2017 16:54|Login
354|IRINA|IRINA|19/12/2017 17:54|Login
355|IRINA|IRINA|20/12/2017 8:21|Login
356|SZE|Sze Sze|20/12/2017 9:27|Login
357|SZE|Sze Sze|20/12/2017 9:47|Logout
358|SZE|Sze Sze|20/12/2017 9:53|Login
359|FATIN|FATIN|20/12/2017 9:55|Login
360|TSY|Shi Yun|20/12/2017 9:59|Login
361|TSY|Shi Yun|20/12/2017 9:59|Logout
892|LKI|Lia|16/01/2018 17:45|Login
362|TSY|Shi Yun|20/12/2017 10:44|Login
363|TSY|Shi Yun|20/12/2017 10:44|Logout
364|SHELA|SHELA|20/12/2017 13:08|Login
365|LKI|Kooi Im|20/12/2017 14:24|Login
366|SZE|Sze Sze|20/12/2017 14:46|Login
367|FATIN|FATIN|20/12/2017 14:59|Login
368|FATIN|FATIN|20/12/2017 15:01|Login
369|SZE|Sze Sze|21/12/2017 8:57|Login
370|ROSSY|ROSSY|21/12/2017 9:09|Login
371|ROSSY|ROSSY|21/12/2017 9:09|Logout
372|IRINA|IRINA|21/12/2017 11:02|Login
373|TSY|Shi Yun|21/12/2017 13:41|Login
374|TSY|Shi Yun|21/12/2017 13:43|Logout
375|TSY|Shi Yun|21/12/2017 13:43|Login
376|SZE|Sze Sze|21/12/2017 15:44|Login
909|ROSSY|ROSSY|17/01/2018 9:22|Login
377|SZE|Sze Sze|22/12/2017 11:14|Login
378|HANA|HANA|22/12/2017 12:54|Login
379|FATIN|FATIN|22/12/2017 14:27|Login
380|TSY|Shi Yun|22/12/2017 15:15|Login
381|SZE|Sze Sze|22/12/2017 17:29|Login
382|FATIN|FATIN|26/12/2017 9:02|Login
383|IRINA|IRINA|26/12/2017 9:39|Login
384|IRINA|IRINA|26/12/2017 9:48|Logout
385|IRINA|IRINA|26/12/2017 9:48|Login
386|IRINA|IRINA|26/12/2017 10:24|Login
387|FATIN|FATIN|26/12/2017 10:36|Login
388|SZE|Sze Sze|26/12/2017 11:45|Login
389|SZE|Sze Sze|26/12/2017 12:54|Login
390|LKI|Kooi Im|26/12/2017 16:17|Login
391|ROSSY|ROSSY|26/12/2017 16:37|Login
392|ROSSY|ROSSY|26/12/2017 16:52|Login
393|SZE|Sze Sze|27/12/2017 8:48|Login
394|LKI|Kooi Im|27/12/2017 9:45|Login
395|LKI|Kooi Im|27/12/2017 9:55|Logout
396|TSY|Shi Yun|27/12/2017 10:38|Login
397|TSY|Shi Yun|27/12/2017 10:38|Logout
398|SZE|Sze Sze|27/12/2017 11:16|Login
399|TSY|Shi Yun|27/12/2017 11:45|Login
400|TSY|Shi Yun|27/12/2017 11:46|Logout
401|ROSSY|ROSSY|27/12/2017 14:40|Login
402|ROSSY|ROSSY|27/12/2017 14:52|Login
403|SZE|Sze Sze|27/12/2017 16:17|Login
404|LKI|Kooi Im|27/12/2017 17:02|Login
405|ROSSY|ROSSY|27/12/2017 17:04|Login
406|SZE|Sze Sze|27/12/2017 18:38|Login
407|FATIN|FATIN|28/12/2017 8:47|Login
408|SZE|Sze Sze|28/12/2017 10:07|Login
409|ROSSY|ROSSY|28/12/2017 10:20|Login
410|FATIN|FATIN|28/12/2017 10:28|Login
411|LKI|Kooi Im|28/12/2017 10:30|Login
412|LKI|Kooi Im|28/12/2017 10:31|Logout
929|SHELA|SHELA|17/01/2018 13:48|Login
413|IRINA|IRINA|28/12/2017 10:54|Login
414|LKI|Kooi Im|28/12/2017 14:50|Login
415|LKI|Kooi Im|28/12/2017 14:52|Logout
416|FATIN|FATIN|28/12/2017 15:01|Login
417|SZE|Sze Sze|28/12/2017 17:46|Login
418|LKI|Kooi Im|28/12/2017 18:01|Login
419|LKI|Kooi Im|28/12/2017 18:04|Logout
935|TSY|Shi Yun|17/01/2018 14:17|Login
420|SZE|Sze Sze|28/12/2017 19:11|Login
421|SZE|Sze Sze|29/12/2017 8:32|Login
422|SZE|Sze Sze|29/12/2017 9:01|Login
423|SZE|Sze Sze|29/12/2017 9:05|Logout
424|ROSSY|ROSSY|29/12/2017 9:09|Login
425|SZE|Sze Sze|29/12/2017 9:16|Login
426|SZE|Sze Sze|29/12/2017 9:17|Login
427|TSY|Shi Yun|29/12/2017 9:17|Login
428|TSY|Shi Yun|29/12/2017 9:17|Logout
429|SZE|Sze Sze|29/12/2017 9:33|Login
430|TSY|Shi Yun|29/12/2017 10:16|Login
431|TSY|Shi Yun|29/12/2017 10:16|Logout
432|SZE|Sze Sze|29/12/2017 10:24|Login
433|IRINA|IRINA|29/12/2017 10:36|Login
434|SZE|Sze Sze|29/12/2017 10:45|Login
435|TSY|Shi Yun|29/12/2017 11:37|Login
436|TSY|Shi Yun|29/12/2017 11:39|Logout
437|LKI|Kooi Im|29/12/2017 11:52|Login
438|LKI|Kooi Im|29/12/2017 12:02|Logout
439|LKI|Kooi Im|29/12/2017 13:46|Login
440|LKI|Kooi Im|29/12/2017 14:18|Logout
441|IDAH|Norfaidah|29/12/2017 16:50|Login
442|TSY|Shi Yun|29/12/2017 16:58|Login
443|TSY|Shi Yun|29/12/2017 16:59|Logout
444|TSY|Shi Yun|29/12/2017 16:59|Login
445|TSY|Shi Yun|29/12/2017 16:59|Logout
446|HANA|HANA|02/01/2018 8:31|Login
447|HANA|HANA|02/01/2018 8:52|Login
448|LKI|Kooi Im|02/01/2018 8:59|Login
449|TSY|Shi Yun|02/01/2018 9:15|Login
450|LKI|Kooi Im|02/01/2018 9:26|Login
451|SZE|Sze Sze|02/01/2018 9:38|Login
452|LKI|Kooi Im|02/01/2018 9:48|Login
453|LKI|Kooi Im|02/01/2018 10:07|Logout
454|LKI|Kooi Im|02/01/2018 10:09|Login
455|TSY|Shi Yun|02/01/2018 10:40|Login
456|IRINA|IRINA|02/01/2018 11:45|Login
457|IRINA|IRINA|02/01/2018 12:13|Login
458|LKI|Kooi Im|02/01/2018 12:15|Login
459|LKI|Kooi Im|02/01/2018 12:26|Logout
460|IDAH|Norfaidah|02/01/2018 12:58|Login
461|IDAH|Norfaidah|02/01/2018 13:48|Login
462|IDAH|Norfaidah|02/01/2018 13:51|Login
463|IDAH|Norfaidah|02/01/2018 14:05|Login
464|SZE|Sze Sze|02/01/2018 14:07|Login
465|LKI|Kooi Im|02/01/2018 14:30|Login
466|IDAH|Norfaidah|02/01/2018 14:44|Login
467|TSY|Shi Yun|02/01/2018 14:45|Login
468|TSY|Shi Yun|02/01/2018 14:45|Logout
469|IDAH|Norfaidah|02/01/2018 14:46|Login
470|TSY|Shi Yun|02/01/2018 14:47|Login
471|TSY|Shi Yun|02/01/2018 14:49|Logout
