fs_id|company_id|fs_date|fs_reminderdate1|fs_reminderdate2|fs_reminderdate3|fs_submissiondate|fs_status|fs_fileddate|fs_deadline|fs_agm
25|6|01/01/2018|01/01/2018|01/04/2018|01/07/2018|31/07/2018|f||01/07/2018|
29|7|31/07/2010|01/07/2010|01/10/2010|01/01/2011|02/03/2011|t|31/07/2010|31/01/2011|11/10/2017
31|7|31/07/2011|01/07/2011|01/10/2011|01/01/2012|01/03/2012|t|31/07/2011|31/01/2012|11/10/2017
33|7|31/07/2012|01/07/2012|01/10/2012|01/01/2013|02/03/2013|t|31/07/2012|31/01/2013|11/10/2017
35|7|31/07/2013|01/07/2013|01/10/2013|01/01/2014|02/03/2014|t|31/07/2013|31/01/2014|11/10/2017
37|7|31/07/2014|01/07/2014|01/10/2014|01/01/2015|02/03/2015|t|31/07/2014|31/01/2015|11/10/2017
39|7|31/07/2015|01/07/2015|01/10/2015|01/01/2016|01/03/2016|t|31/07/2015|31/01/2016|11/10/2017
41|7|31/07/2016|01/07/2016|01/10/2016|01/01/2017|02/03/2017|t|31/07/2016|31/01/2017|11/10/2017
44|8|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|11/10/2017
46|8|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|11/10/2017
49|10|01/01/2018|01/01/2018|01/04/2018|01/07/2018|31/07/2018|f||01/07/2018|
51|11|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|11/10/2017
53|11|31/12/2010|01/12/2010|01/03/2011|01/06/2011|30/07/2011|t|31/12/2010|30/06/2011|11/10/2017
55|11|31/12/2011|01/12/2011|01/03/2012|01/06/2012|30/07/2012|t|31/12/2011|30/06/2012|11/10/2017
57|11|31/12/2012|01/12/2012|01/03/2013|01/06/2013|30/07/2013|t|31/12/2012|30/06/2013|11/10/2017
59|11|31/12/2013|01/12/2013|01/03/2014|01/06/2014|30/07/2014|t|31/12/2013|30/06/2014|11/10/2017
61|11|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|11/10/2017
63|11|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|11/10/2017
65|11|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|31/12/2016|30/06/2017|11/10/2017
66|11|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|f||30/06/2018|
68|12|31/03/2009|01/03/2009|01/06/2009|01/09/2009|30/10/2009|t|31/03/2009|30/09/2009|11/10/2017
70|12|31/03/2010|01/03/2010|01/06/2010|01/09/2010|30/10/2010|t|31/03/2010|30/09/2010|11/10/2017
72|12|31/03/2011|01/03/2011|01/06/2011|01/09/2011|30/10/2011|t|31/03/2011|30/09/2011|11/10/2017
74|12|31/03/2012|01/03/2012|01/06/2012|01/09/2012|30/10/2012|t|31/03/2012|30/09/2012|11/10/2017
76|12|31/03/2013|01/03/2013|01/06/2013|01/09/2013|30/10/2013|t|31/03/2013|30/09/2013|11/10/2017
78|12|31/03/2015|01/03/2015|01/06/2015|01/09/2015|30/10/2015|t|31/03/2015|30/09/2015|11/10/2017
80|12|31/03/2016|01/03/2016|01/06/2016|01/09/2016|30/10/2016|t|31/03/2016|30/09/2016|11/10/2017
82|13|01/01/2018|01/01/2018|01/04/2018|01/07/2018|31/07/2018|f||01/07/2018|
84|14|31/12/2005|01/12/2005|01/03/2006|01/06/2006|30/07/2006|t|31/12/2005|30/06/2006|11/10/2017
86|14|31/12/2006|01/12/2006|01/03/2007|01/06/2007|30/07/2007|t|31/12/2006|30/06/2007|11/10/2017
88|14|31/12/2007|01/12/2007|01/03/2008|01/06/2008|30/07/2008|t|31/12/2007|30/06/2008|11/10/2017
90|14|31/12/2008|01/12/2008|01/03/2009|01/06/2009|30/07/2009|t|31/12/2008|30/06/2009|11/10/2017
92|14|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|11/10/2017
94|14|31/12/2010|01/12/2010|01/03/2011|01/06/2011|30/07/2011|t|31/12/2010|30/06/2011|11/10/2017
96|14|31/12/2011|01/12/2011|01/03/2012|01/06/2012|30/07/2012|t|31/12/2011|30/06/2012|11/10/2017
98|14|31/12/2012|01/12/2012|01/03/2013|01/06/2013|30/07/2013|t|31/12/2012|30/06/2013|11/10/2017
100|14|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|11/10/2017
102|16|01/01/2018|01/01/2018|01/04/2018|01/07/2018|31/07/2018|f||01/07/2018|
103|18|01/01/2018|01/01/2018|01/04/2018|01/07/2018|31/07/2018|f||01/07/2018|
110|17|30/06/2016|01/06/2016|01/09/2016|01/12/2016|29/01/2017|t|30/06/2016|30/12/2016|11/10/2017
104|17|30/06/2013|01/06/2013|01/09/2013|01/12/2013|29/01/2014|t|30/06/2013|30/12/2013|11/10/2017
106|17|30/06/2014|01/06/2014|01/09/2014|01/12/2014|29/01/2015|t|30/06/2014|30/12/2014|11/10/2017
108|17|30/06/2015|01/06/2015|01/09/2015|01/12/2015|29/01/2016|t|30/06/2015|30/12/2015|11/10/2017
921|66|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|31/12/2016|30/06/2017|16/10/2017
22|3|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|f||30/06/2016|
440|39|30/06/2007|01/06/2007|01/09/2007|01/12/2007|29/01/2008|t|30/06/2007|30/12/2007|13/10/2017
113|19|28/02/2013|01/02/2013|01/05/2013|01/08/2013|27/09/2013|t|28/02/2013|28/08/2013|12/10/2017
115|19|28/02/2014|01/02/2014|01/05/2014|01/08/2014|27/09/2014|t|28/02/2014|28/08/2014|12/10/2017
122|20|30/06/2013|01/06/2013|01/09/2013|01/12/2013|29/01/2014|t|30/06/2013|30/12/2013|12/10/2017
117|19|28/02/2015|01/02/2015|01/05/2015|01/08/2015|27/09/2015|t|28/02/2015|28/08/2015|12/10/2017
1250|101|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|17/10/2017
119|19|29/02/2016|01/02/2016|01/05/2016|01/08/2016|28/09/2016|t|29/02/2016|29/08/2016|12/10/2017
125|21|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|12/10/2017
127|21|31/12/2010|01/12/2010|01/03/2011|01/06/2011|30/07/2011|t|31/12/2010|30/06/2011|12/10/2017
129|21|31/12/2011|01/12/2011|01/03/2012|01/06/2012|30/07/2012|t|31/12/2011|30/06/2012|12/10/2017
131|21|31/12/2012|01/12/2012|01/03/2013|01/06/2013|30/07/2013|t|31/12/2012|30/06/2013|12/10/2017
135|23|31/12/2000|01/12/2000|01/03/2001|01/06/2001|30/07/2001|t|31/12/2000|30/06/2001|12/10/2017
137|23|31/12/2001|01/12/2001|01/03/2002|01/06/2002|30/07/2002|t|31/12/2001|30/06/2002|12/10/2017
139|23|31/12/2002|01/12/2002|01/03/2003|01/06/2003|30/07/2003|t|31/12/2002|30/06/2003|12/10/2017
141|23|31/12/2003|01/12/2003|01/03/2004|01/06/2004|30/07/2004|t|31/12/2003|30/06/2004|12/10/2017
961|69|31/01/2018|01/01/2018|01/04/2018|01/07/2018|30/08/2018|f||31/07/2018|
143|23|31/12/2004|01/12/2004|01/03/2005|01/06/2005|30/07/2005|t|31/12/2004|30/06/2005|12/10/2017
145|23|31/12/2005|01/12/2005|01/03/2006|01/06/2006|30/07/2006|t|31/12/2005|30/06/2006|12/10/2017
147|23|31/12/2006|01/12/2006|01/03/2007|01/06/2007|30/07/2007|t|31/12/2006|30/06/2007|12/10/2017
149|23|31/12/2007|01/12/2007|01/03/2008|01/06/2008|30/07/2008|t|31/12/2007|30/06/2008|12/10/2017
151|23|31/12/2008|01/12/2008|01/03/2009|01/06/2009|30/07/2009|t|31/12/2008|30/06/2009|12/10/2017
153|23|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|12/10/2017
155|23|31/12/2010|01/12/2010|01/03/2011|01/06/2011|30/07/2011|t|31/12/2010|30/06/2011|12/10/2017
157|23|31/12/2011|01/12/2011|01/03/2012|01/06/2012|30/07/2012|t|31/12/2011|30/06/2012|12/10/2017
159|23|31/12/2012|01/12/2012|01/03/2013|01/06/2013|30/07/2013|t|31/12/2012|30/06/2013|12/10/2017
161|23|31/12/2013|01/12/2013|01/03/2014|01/06/2014|30/07/2014|t|31/12/2013|30/06/2014|12/10/2017
163|23|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|12/10/2017
165|23|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|12/10/2017
167|23|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|31/12/2016|30/06/2017|12/10/2017
168|23|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|f||30/06/2018|
170|24|30/09/2003|01/09/2003|01/12/2003|01/03/2004|29/04/2004|t|30/09/2003|30/03/2004|12/10/2017
172|24|30/09/2004|01/09/2004|01/12/2004|01/03/2005|29/04/2005|t|30/09/2004|30/03/2005|12/10/2017
174|24|30/09/2005|01/09/2005|01/12/2005|01/03/2006|29/04/2006|t|30/09/2005|30/03/2006|12/10/2017
176|24|30/09/2006|01/09/2006|01/12/2006|01/03/2007|29/04/2007|t|30/09/2006|30/03/2007|12/10/2017
178|24|30/09/2007|01/09/2007|01/12/2007|01/03/2008|29/04/2008|t|30/09/2007|30/03/2008|12/10/2017
180|24|30/09/2008|01/09/2008|01/12/2008|01/03/2009|29/04/2009|t|30/09/2008|30/03/2009|12/10/2017
182|24|30/09/2009|01/09/2009|01/12/2009|01/03/2010|29/04/2010|t|30/09/2009|30/03/2010|12/10/2017
184|24|30/09/2010|01/09/2010|01/12/2010|01/03/2011|29/04/2011|t|30/09/2010|30/03/2011|12/10/2017
186|24|30/09/2011|01/09/2011|01/12/2011|01/03/2012|29/04/2012|t|30/09/2011|30/03/2012|12/10/2017
188|24|30/09/2012|01/09/2012|01/12/2012|01/03/2013|29/04/2013|t|30/09/2012|30/03/2013|12/10/2017
191|25|31/12/2008|01/12/2008|01/03/2009|01/06/2009|30/07/2009|t|31/12/2008|30/06/2009|12/10/2017
193|25|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|12/10/2017
195|25|31/12/2010|01/12/2010|01/03/2011|01/06/2011|30/07/2011|t|31/12/2010|30/06/2011|12/10/2017
197|25|31/12/2011|01/12/2011|01/03/2012|01/06/2012|30/07/2012|t|31/12/2011|30/06/2012|12/10/2017
199|25|31/12/2012|01/12/2012|01/03/2013|01/06/2013|30/07/2013|t|31/12/2012|30/06/2013|12/10/2017
201|25|31/12/2013|01/12/2013|01/03/2014|01/06/2014|30/07/2014|t|31/12/2013|30/06/2014|12/10/2017
203|25|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|12/10/2017
205|25|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|12/10/2017
207|25|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|31/12/2016|30/06/2017|12/10/2017
208|25|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|f||30/06/2018|
212|26|30/09/2017|01/09/2017|01/12/2017|01/03/2018|29/04/2018|f||30/03/2018|
214|27|31/12/2000|01/12/2000|01/03/2001|01/06/2001|30/07/2001|t|31/12/2000|30/06/2001|12/10/2017
216|27|31/12/2001|01/12/2001|01/03/2002|01/06/2002|30/07/2002|t|31/12/2001|30/06/2002|12/10/2017
218|27|31/12/2002|01/12/2002|01/03/2003|01/06/2003|30/07/2003|t|31/12/2002|30/06/2003|12/10/2017
220|27|31/12/2003|01/12/2003|01/03/2004|01/06/2004|30/07/2004|t|31/12/2003|30/06/2004|12/10/2017
222|27|31/12/2004|01/12/2004|01/03/2005|01/06/2005|30/07/2005|t|31/12/2004|30/06/2005|12/10/2017
224|27|31/12/2005|01/12/2005|01/03/2006|01/06/2006|30/07/2006|t|31/12/2005|30/06/2006|12/10/2017
226|27|31/12/2006|01/12/2006|01/03/2007|01/06/2007|30/07/2007|t|31/12/2006|30/06/2007|12/10/2017
228|27|31/12/2007|01/12/2007|01/03/2008|01/06/2008|30/07/2008|t|31/12/2007|30/06/2008|12/10/2017
230|27|31/12/2008|01/12/2008|01/03/2009|01/06/2009|30/07/2009|t|31/12/2008|30/06/2009|12/10/2017
927|67|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|t|20/04/2018|22/03/2018|
232|27|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|12/10/2017
234|27|31/12/2010|01/12/2010|01/03/2011|01/06/2011|30/07/2011|t|31/12/2010|30/06/2011|12/10/2017
236|27|31/12/2011|01/12/2011|01/03/2012|01/06/2012|30/07/2012|t|31/12/2011|30/06/2012|12/10/2017
2074|159|31/12/2008|01/12/2008|01/03/2009|01/06/2009|30/07/2009|t|31/12/2008|30/06/2009|19/02/2009
1255|101|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|f||30/06/2018|
1260|102|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|f||30/06/2018|
262|28|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|f||30/06/2018|
264|29|31/12/2013|01/12/2013|01/03/2014|01/06/2014|30/07/2014|t|31/12/2013|30/06/2014|12/10/2017
266|29|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|12/10/2017
268|29|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|12/10/2017
270|29|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|31/12/2016|30/06/2017|12/10/2017
273|24|30/09/2013|01/09/2013|01/12/2013|01/03/2014|29/04/2014|f||30/03/2014|
1335|106|31/05/2014|01/05/2014|01/08/2014|01/11/2014|30/12/2014|t|31/05/2014|30/11/2014|19/10/2017
303|30|30/06/2011|01/06/2011|01/09/2011|01/12/2011|29/01/2012|t|30/06/2011|30/12/2011|12/10/2017
305|30|30/06/2012|01/06/2012|01/09/2012|01/12/2012|29/01/2013|t|30/06/2012|30/12/2012|12/10/2017
307|30|30/06/2014|01/06/2014|01/09/2014|01/12/2014|29/01/2015|t|30/06/2014|30/12/2014|12/10/2017
309|30|30/06/2015|01/06/2015|01/09/2015|01/12/2015|29/01/2016|t|30/06/2015|30/12/2015|12/10/2017
312|31|31/12/2005|01/12/2005|01/03/2006|01/06/2006|30/07/2006|t|31/12/2005|30/06/2006|12/10/2017
314|31|31/12/2006|01/12/2006|01/03/2007|01/06/2007|30/07/2007|t|31/12/2006|30/06/2007|12/10/2017
316|31|31/12/2007|01/12/2007|01/03/2008|01/06/2008|30/07/2008|t|31/12/2007|30/06/2008|12/10/2017
318|31|31/12/2008|01/12/2008|01/03/2009|01/06/2009|30/07/2009|t|31/12/2008|30/06/2009|12/10/2017
320|31|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|12/10/2017
332|32|31/03/2018|01/03/2018|01/06/2018|01/09/2018|30/10/2018|f||30/09/2018|
334|33|30/06/2004|01/06/2004|01/09/2004|01/12/2004|29/01/2005|t|30/06/2004|30/12/2004|13/10/2017
336|33|30/06/2005|01/06/2005|01/09/2005|01/12/2005|29/01/2006|t|30/06/2005|30/12/2005|13/10/2017
338|33|30/06/2006|01/06/2006|01/09/2006|01/12/2006|29/01/2007|t|30/06/2006|30/12/2006|13/10/2017
340|33|30/06/2007|01/06/2007|01/09/2007|01/12/2007|29/01/2008|t|30/06/2007|30/12/2007|13/10/2017
342|33|30/06/2008|01/06/2008|01/09/2008|01/12/2008|29/01/2009|t|30/06/2008|30/12/2008|13/10/2017
344|33|30/06/2009|01/06/2009|01/09/2009|01/12/2009|29/01/2010|t|30/06/2009|30/12/2009|13/10/2017
346|33|30/06/2010|01/06/2010|01/09/2010|01/12/2010|29/01/2011|t|30/06/2010|30/12/2010|13/10/2017
348|33|30/06/2011|01/06/2011|01/09/2011|01/12/2011|29/01/2012|t|30/06/2011|30/12/2011|13/10/2017
350|33|30/06/2012|01/06/2012|01/09/2012|01/12/2012|29/01/2013|t|30/06/2012|30/12/2012|13/10/2017
352|33|30/06/2013|01/06/2013|01/09/2013|01/12/2013|29/01/2014|t|30/06/2013|30/12/2013|13/10/2017
354|33|30/06/2014|01/06/2014|01/09/2014|01/12/2014|29/01/2015|t|30/06/2014|30/12/2014|13/10/2017
356|33|30/06/2015|01/06/2015|01/09/2015|01/12/2015|29/01/2016|t|30/06/2015|30/12/2015|13/10/2017
358|33|30/06/2016|01/06/2016|01/09/2016|01/12/2016|29/01/2017|t|30/06/2016|30/12/2016|13/10/2017
361|34|31/10/2010|01/10/2010|01/01/2011|01/04/2011|30/05/2011|t|31/10/2010|30/04/2011|13/10/2017
363|34|30/09/2011|01/09/2011|01/12/2011|01/03/2012|29/04/2012|t|30/09/2011|30/03/2012|13/10/2017
365|34|30/09/2012|01/09/2012|01/12/2012|01/03/2013|29/04/2013|t|30/09/2012|30/03/2013|13/10/2017
367|34|30/09/2013|01/09/2013|01/12/2013|01/03/2014|29/04/2014|t|30/09/2013|30/03/2014|13/10/2017
369|34|30/09/2014|01/09/2014|01/12/2014|01/03/2015|29/04/2015|t|30/09/2014|30/03/2015|13/10/2017
371|34|30/09/2015|01/09/2015|01/12/2015|01/03/2016|29/04/2016|t|30/09/2015|30/03/2016|13/10/2017
373|34|30/09/2016|01/09/2016|01/12/2016|01/03/2017|29/04/2017|t|30/09/2016|30/03/2017|13/10/2017
410|37|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|13/10/2017
412|37|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|13/10/2017
423|38|30/06/2010|01/06/2010|01/09/2010|01/12/2010|29/01/2011|t|30/06/2010|30/12/2010|13/10/2017
425|38|30/06/2011|01/06/2011|01/09/2011|01/12/2011|29/01/2012|t|30/06/2011|30/12/2011|13/10/2017
427|38|30/06/2012|01/06/2012|01/09/2012|01/12/2012|29/01/2013|t|30/06/2012|30/12/2012|13/10/2017
429|38|30/06/2013|01/06/2013|01/09/2013|01/12/2013|29/01/2014|t|30/06/2013|30/12/2013|13/10/2017
431|38|30/06/2014|01/06/2014|01/09/2014|01/12/2014|29/01/2015|t|30/06/2014|30/12/2014|13/10/2017
433|38|30/06/2015|01/06/2015|01/09/2015|01/12/2015|29/01/2016|t|30/06/2015|30/12/2015|13/10/2017
435|38|30/06/2016|01/06/2016|01/09/2016|01/12/2016|29/01/2017|t|30/06/2016|30/12/2016|13/10/2017
249|28|31/12/2010|01/12/2010|01/03/2011|01/06/2011|30/07/2011|t|31/12/2010|30/06/2011|12/10/2017
251|28|31/12/2011|01/12/2011|01/03/2012|01/06/2012|30/07/2012|t|31/12/2011|30/06/2012|12/10/2017
238|27|31/12/2012|01/12/2012|01/03/2013|01/06/2013|30/07/2013|t|31/12/2012|30/06/2013|12/10/2017
253|28|31/12/2012|01/12/2012|01/03/2013|01/06/2013|30/07/2013|t|31/12/2012|30/06/2013|12/10/2017
240|27|31/12/2013|01/12/2013|01/03/2014|01/06/2014|30/07/2014|t|31/12/2013|30/06/2014|12/10/2017
242|27|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|12/10/2017
922|66|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|f||30/06/2018|
255|28|31/12/2013|01/12/2013|01/03/2014|01/06/2014|30/07/2014|t|31/12/2013|30/06/2014|12/10/2017
245|28|31/12/2008|01/12/2008|01/03/2009|01/06/2009|30/07/2009|t|31/12/2008|30/06/2009|12/10/2017
247|28|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|12/10/2017
257|28|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|12/10/2017
259|28|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|12/10/2017
261|28|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|31/12/2016|30/06/2017|12/10/2017
924|67|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|16/10/2017
271|29|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|f||30/06/2018|
926|67|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|31/12/2016|30/06/2017|16/10/2017
1252|101|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|17/10/2017
275|30|30/06/1997|01/06/1997|01/09/1997|01/12/1997|29/01/1998|t|30/06/1997|30/12/1997|12/10/2017
277|30|30/06/1998|01/06/1998|01/09/1998|01/12/1998|29/01/1999|t|30/06/1998|30/12/1998|12/10/2017
279|30|30/06/1999|01/06/1999|01/09/1999|01/12/1999|29/01/2000|t|30/06/1999|30/12/1999|12/10/2017
281|30|30/06/2000|01/06/2000|01/09/2000|01/12/2000|29/01/2001|t|30/06/2000|30/12/2000|12/10/2017
283|30|30/06/2001|01/06/2001|01/09/2001|01/12/2001|29/01/2002|t|30/06/2001|30/12/2001|12/10/2017
285|30|30/06/2002|01/06/2002|01/09/2002|01/12/2002|29/01/2003|t|30/06/2002|30/12/2002|12/10/2017
287|30|30/06/2003|01/06/2003|01/09/2003|01/12/2003|29/01/2004|t|30/06/2003|30/12/2003|12/10/2017
289|30|30/06/2004|01/06/2004|01/09/2004|01/12/2004|29/01/2005|t|30/06/2004|30/12/2004|12/10/2017
291|30|30/06/2005|01/06/2005|01/09/2005|01/12/2005|29/01/2006|t|30/06/2005|30/12/2005|12/10/2017
293|30|30/06/2006|01/06/2006|01/09/2006|01/12/2006|29/01/2007|t|30/06/2006|30/12/2006|12/10/2017
295|30|30/06/2007|01/06/2007|01/09/2007|01/12/2007|29/01/2008|t|30/06/2007|30/12/2007|12/10/2017
297|30|30/06/2008|01/06/2008|01/09/2008|01/12/2008|29/01/2009|t|30/06/2008|30/12/2008|12/10/2017
299|30|30/06/2009|01/06/2009|01/09/2009|01/12/2009|29/01/2010|t|30/06/2009|30/12/2009|12/10/2017
301|30|30/06/2010|01/06/2010|01/09/2010|01/12/2010|29/01/2011|t|30/06/2010|30/12/2010|12/10/2017
1254|101|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|31/12/2016|30/06/2017|17/10/2017
2078|159|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|15/05/2010
323|32|31/03/2013|01/03/2013|01/06/2013|01/09/2013|30/10/2013|t|31/03/2013|30/09/2013|12/10/2017
325|32|31/03/2014|01/03/2014|01/06/2014|01/09/2014|30/10/2014|t|31/03/2014|30/09/2014|12/10/2017
327|32|31/03/2015|01/03/2015|01/06/2015|01/09/2015|30/10/2015|t|31/03/2015|30/09/2015|12/10/2017
329|32|31/03/2016|01/03/2016|01/06/2016|01/09/2016|30/10/2016|t|31/03/2016|30/09/2016|12/10/2017
331|32|31/03/2017|01/03/2017|01/06/2017|01/09/2017|30/10/2017|t|31/03/2017|30/09/2017|12/10/2017
376|35|30/06/2013|01/06/2013|01/09/2013|01/12/2013|29/01/2014|t|30/06/2013|30/12/2013|13/10/2017
378|35|30/06/2014|01/06/2014|01/09/2014|01/12/2014|29/01/2015|t|30/06/2014|30/12/2014|13/10/2017
380|35|30/06/2015|01/06/2015|01/09/2015|01/12/2015|29/01/2016|t|30/06/2015|30/12/2015|13/10/2017
382|35|30/06/2016|01/06/2016|01/09/2016|01/12/2016|29/01/2017|t|30/06/2016|30/12/2016|13/10/2017
385|36|31/12/2006|01/12/2006|01/03/2007|01/06/2007|30/07/2007|t|31/12/2006|30/06/2007|13/10/2017
387|36|31/12/2007|01/12/2007|01/03/2008|01/06/2008|30/07/2008|t|31/12/2007|30/06/2008|13/10/2017
389|36|31/12/2008|01/12/2008|01/03/2009|01/06/2009|30/07/2009|t|31/12/2008|30/06/2009|13/10/2017
391|36|31/12/2009|01/12/2009|01/03/2010|01/06/2010|30/07/2010|t|31/12/2009|30/06/2010|13/10/2017
393|36|31/12/2010|01/12/2010|01/03/2011|01/06/2011|30/07/2011|t|31/12/2010|30/06/2011|13/10/2017
395|36|31/12/2011|01/12/2011|01/03/2012|01/06/2012|30/07/2012|t|31/12/2011|30/06/2012|13/10/2017
397|36|31/12/2012|01/12/2012|01/03/2013|01/06/2013|30/07/2013|t|31/12/2012|30/06/2013|13/10/2017
399|36|31/12/2013|01/12/2013|01/03/2014|01/06/2014|30/07/2014|t|31/12/2013|30/06/2014|13/10/2017
401|36|31/12/2014|01/12/2014|01/03/2015|01/06/2015|30/07/2015|t|31/12/2014|30/06/2015|13/10/2017
403|36|31/12/2015|01/12/2015|01/03/2016|01/06/2016|30/07/2016|t|31/12/2015|30/06/2016|13/10/2017
406|37|31/12/2012|01/12/2012|01/03/2013|01/06/2013|30/07/2013|t|31/12/2012|30/06/2013|13/10/2017
