case_id|job_id|case_no|case_entrydate|case_case|case_particular|case_remark|case_tempkey|case_casebillingdescription
52|46|1|2018-01-04|S105|Transfer of shares|""|52018-01-04T17:42:23.216|Transfer of share(s)
53|47|1|2018-01-04|ChBkSig|PBeBank.com - Change Corporate User|""|32018-01-04T17:46:06.742|Changing Banking Signatory
54|48|1|2018-01-04|ChBkSig|PBeBank.com - Change Corporate User|""|32018-01-04T17:46:36.618|Changing Banking Signatory
55|49|1|2018-01-04|ChBkSig|PBeBank.com - Change Corporate User|""|32018-01-04T17:47:05.011|Changing Banking Signatory
56|50|1|2018-01-04|DCR|Open Fixed Deposit - Public Bank, Taman Maluri|""|42018-01-04T19:52:25.424|Misc Director Resolution-
57|51|1|2018-01-05|AR/AGM|Annual Return @ 2018-01-05|""|82018-01-05T08:47:05.585|Annual Return
58|52|1|2018-01-05|S78|- Up to 10 shares. |""|82018-01-05T09:26:09.648|Increase in Paid Up Capital-Cash
59|53|1|2018-01-05|BkChsig|PBeBank.com - Change Corporate User|""|32018-01-05T09:30:41.495|Bank-Change Signatories
60|54|1|2018-01-05|BkChsig|PBeBank.com - Change Corporate User|""|32018-01-05T09:31:20.779|Bank-Change Signatories
61|55|1|2018-01-05|BkChsig|PBeBank.com - Change Corporate User|""|32018-01-05T09:31:40.705|Bank-Change Signatories
62|56|1|2018-01-05|S105|"- share transfer Azmil to Azlin (1 shares) 
"|""|82018-01-05T09:30:00.554|Transfer of share(s)
63|57|1|2018-01-05|ChAud|Change of Auditor|""|92018-01-05T10:48:40.215|Change of Auditor
64|58|1|2018-01-05|AR/AGM|Annual Return @ 2018-01-16|""|72018-01-05T11:03:07.401|Annual Return
65|59|1|2018-01-05|S58|Chg of Passport : Soh Wen Hao, Jermaine (E6562220A)|""|72018-01-05T11:57:45.700|F49-ResDir/Change Information
66|60|1|2018-01-05|CTC|"M&A/F24/F44/F49 (x1) @ 2018-01-05
"|""|42018-01-05T12:24:45.680|Certified True Copies 
67|61|1|2018-01-05|AR/AGM|Annual Return @ 2018-01-23|""|82018-01-05T12:57:36.170|Annual Return
186|165|1|2018-01-15|OpBk|Opbk - OCBC|""|32018-01-15T11:13:30.688|Open Bank Account(s)
68|62|1|2018-01-05|S58|Chg of Director Passport - Peter David Elliott-Hughes (518060019)|""|72018-01-05T13:14:36.207|F49-ResDir/Change Information
69|63|1|2018-01-05|CTC|CTC Financial Statement as at 31.12.2016 Form from Board of Engineering|""|52018-01-05T13:26:18.619|Certified True Copies 
70|64|1|2018-01-05|S105|Preference Shares Transfer - 200k|""|32018-01-05T14:00:07.391|Transfer of share(s)
196|174|1|2018-01-16|DCR|"DCR & POA - Appt Corp Rep - Hong K.S. 
"|""|22018-01-16T11:33:17.286|Misc Director Resolution-
200|178|1|2018-01-16|S27|Spartan Advanced Training Sdn. Bhd.|""|92018-01-16T14:44:42.081|Name Reservation-
71|65|1|2018-01-05|S236|Appointment of Secretary|""|92018-01-05T14:38:17.770|Appointment of Secretary
72|66|1|2018-01-05|AR/AGM|Annual Return @ 2018-01-28|""|72018-01-05T15:09:52.259|Annual Return
73|67|1|2018-01-05|AC|FS@2017-09-30|""|92018-01-05T17:12:11.964|Financial Statement
74|68|1|2018-01-06|CIBk|Hong Leong Bank|""|42018-01-06T11:03:52.106|Bank-Close Account(s)
75|69|1|2018-01-06|AC|Financial Statement @ 2017-06-30|""|72018-01-06T11:19:43.299|Financial Statement
76|70|1|2018-01-06|T.O.|Re-appoint us as Sec|""|32018-01-06T12:52:37.366|Take Over Secretarial File(s)
77|71|1|2018-01-08|AR/AGM|AR@2018-01-30|""|92018-01-08T12:50:36.626|Annual Return
78|72|1|2018-01-08|Misc|Prepare Proof of Debt (Form 77) |""|32018-01-08T12:57:02.673|Non-secretarial assignments
79|73|1|2018-01-08|AC|Financial Statement @ 2017-06-30|""|72018-01-08T13:04:11.105|Financial Statement
205|181|3|2018-01-16|CTC|CTC F24, F44, F49, M&A (1 set)|""|32018-01-16T15:52:23.004|Certified True Copies 
209|185|1|2018-01-16|CTC|""|""|92018-01-16T18:03:11.967|Certified True Copies 
81|74|1|2018-01-08|AR/AGM|AR@2018-01-30|""|92018-01-08T14:45:31.574|Annual Return
82|75|1|2018-01-08|AR/AGM|AR@2018-01-27|""|92018-01-08T14:46:52.489|Annual Return
83|76|1|2018-01-08|BkOp|Corporate Internet Banking Facility with Affin Bank Berhad|""|52018-01-08T15:13:59.245|Bank-Open Account[s]
84|77|1|2018-01-08|Div|Declaration of RM500,000 dividend FYE 31.12.2017 @ 26.12.2017|""|42018-01-08T16:34:35.344|Issuance of Dividends
85|78|1|2018-01-08|S36|Amend AA Article 1, 3(a) and 3(d), Insert Article 5|""|72018-01-08T16:52:09.516|M&A/Constitution changes
86|78|2|2018-01-08|S58|Resignation Dir: Ms. Chen|""|72018-01-08T16:52:09.516|F49-ResDir/Change Information
87|78|3|2018-01-08|ShCert|"Lost ShCert No.: 001,002,003,004
Replace ShCert No.: 005,006"|""|72018-01-08T16:52:09.516|Lost Share certificates/amendments
88|78|4|2018-01-08|S105|ShTr from Ms. Chen to Mr. Tan Mark: 49,000 units|""|72018-01-08T16:52:09.516|Transfer of share(s)
89|79|1|2018-01-08|AR/AGM|AR@2018-01-21|""|92018-01-08T17:36:31.871|Annual Return
213|189|1|2018-01-17|CTC|F24, F49, S58, F9, F44, M&A (1set)|""|62018-01-17T09:02:26.312|Certified True Copies 
217|193|1|2018-01-17|Misc|GST Registration|""|32018-01-17T12:40:52.057|Non-secretarial assignments
221|196|2|2018-01-17|FYE|Change of Fye from 30 June to 31 Dec 2017|""|72018-01-17T13:48:50.804|Fixing Financial Year End-DCR
227|202|1|2018-01-17|FYE|Change of FYE from 30 June to 31 Dec 2017|""|72018-01-17T16:18:37.759|Fixing Financial Year End-DCR
229|204|1|2018-01-18|OpBk|Open CIMB Bank Ara Damansara branch|""|42018-01-18T08:57:33.269|Open Bank Account(s)
232|207|1|2018-01-18|CTC|DCRs & MWRs purchase of property with Tropikal Task SB, F49, F24, F44, M&A & Directors' IC requested by vendor's solicitor, TAN, CHUA & LAWRENCE.|""|42018-01-18T11:12:21.679|Certified True Copies 
305|273|1|2018-01-23|AR/AGM|""|""|92018-01-23T17:27:47.891|Annual Return
182|161|1|2018-01-15|CTC|""|""|92018-01-15T09:04:34.781|Certified True Copies 
90|80|1|2018-01-08|T.O.|Take over sec file|""|32018-01-08T18:57:55.149|Take Over Secretarial File(s)
91|81|1|2018-01-09|RO|Change Registered Office to E-7-1, Megan Avenue 1, |""|82018-01-09T09:10:58.519|Registered Office
92|82|1|2018-01-09|ChAud|Change of Auditor & Appointment of Tax Agent|""|92018-01-09T09:26:07.978|Change of Auditor
93|83|1|2018-01-09|S58|Change of passport - Thomas John Jeffers 13.12.2017|""|42018-01-09T10:37:39.755|F49-ResDir/Change Information
94|84|1|2018-01-09|S58|Change of passport - Thomas John Jeffers|""|42018-01-09T10:42:58.118|F49-ResDir/Change Information
187|166|1|2018-01-15|OpBk|Opbk - OCBC|""|32018-01-15T11:14:30.096|Open Bank Account(s)
192|170|1|2018-01-15|CTC|"
Audited Account 2012, 2013, 2014, 2015, 2016 (1set)"|""|62018-01-15T16:47:26.126|Certified True Copies 
95|85|1|2018-01-09|CTC|CTC|""|92018-01-09T11:05:02.029|Certified True Copies 
96|86|1|2018-01-09|CTC|CTC|""|92018-01-09T11:08:38.827|Certified True Copies 
97|87|1|2018-01-09|PurVeh|"Purchase of MV (Ford Ranger 2.2)
Disposal of MV (Ford Ranger, BKU 8767)"|""|52018-01-09T11:29:45.410|Vehicle Purchase/disposal
98|88|1|2018-01-09|AC|Financial Statement @ 2017-06-30|""|72018-01-09T11:32:35.597|Financial Statement
99|89|1|2018-01-09|SecFee|- From 2018-01-03 to 2019-01-02|""|32018-01-09T13:50:23.415|Secretarial Fee + Registered Office
100|90|1|2018-01-09|SecFee|- From 2018-01-07 to 2019-01-06|""|32018-01-09T13:51:10.222|Secretarial Fee + Registered Office
101|91|1|2018-01-09|SecFee|- From 2018-01-06 to 2019-01-05|""|32018-01-09T13:51:58.623|Secretarial Fee + Registered Office
102|92|1|2018-01-09|AR/AGM|AR@2018-01-27|""|92018-01-09T14:54:28.710|Annual Return
103|93|1|2018-01-10|Div|Declaration of RM578,000 dividend|""|52018-01-10T09:26:11.863|Issuance of Dividends
104|94|1|2018-01-10|AC|Financial Statement @ 2017-06-30|""|72018-01-10T09:48:34.418|Financial Statement
105|95|1|2018-01-10|AC|Financial Statement@2017-06-30|""|72018-01-10T11:12:54.935|Financial Statement
107|96|1|2018-01-10|CTC|F49,F24,F44, M&A, DCRs & MCRs purchase of property C-63A-1, Dataran C180 dd 19.12.2017|""|42018-01-10T12:42:13.624|Certified True Copies 
108|97|1|2018-01-10|IntBanking|Internet Banking with MBB|""|52018-01-10T13:09:57.138|Internet Banking
109|98|1|2018-01-10|AC|Financial Statement @ 2017-06-30|""|72018-01-10T13:08:31.243|Financial Statement
110|99|1|2018-01-10|AR/AGM|Annual Return @ 2018-01-21|""|72018-01-10T13:44:11.117|Annual Return
111|100|1|2018-01-10|AC|Financial Statement @ 2017-06-30|""|72018-01-10T13:46:24.362|Financial Statement
112|101|1|2018-01-10|CTC|CTC Forms, M&A, IC, DCRs & MCRs purchase of property C-63A-1 dd 19.12.2017|""|42018-01-10T14:18:20.182|Certified True Copies 
113|102|1|2018-01-10|S105|S105|""|92018-01-10T15:13:05.933|Transfer of share(s)
114|103|1|2018-01-10|AC|FS@2016-12-31|""|92018-01-10T16:03:18.625|Financial Statement
115|104|1|2018-01-10|AC|FS@2016-12-31|""|92018-01-10T16:05:09.827|Financial Statement
116|105|1|2018-01-10|Div|Declaration of Dividend (2/2018) - RM150k|""|32018-01-10T17:28:01.789|Issuance of Dividends
117|106|1|2018-01-10|Div|Declaration of Dividend (2/2018) - RM150|""|32018-01-10T17:33:18.599|Issuance of Dividends
118|107|1|2018-01-10|PurVeh|Disposal of MV (WVB 1200)|""|52018-01-10T17:36:27.285|Vehicle Purchase/disposal
120|108|1|2018-01-10|S15|"New Incorporation: TFMY SERVICES SDN. BHD.
Resubmit S27: 2018-01-10"|Deadline S27: 2018-02-09|72018-01-10T17:47:05.468|Incorporation
121|109|1|2018-01-11|CIBk|HLBB Bangsar branch|""|42018-01-11T09:48:22.151|Bank-Close Account(s)
122|110|1|2018-01-11|AR/AGM|Annual Return @ 2018-01-25|""|82018-01-11T11:48:43.157|Annual Return
123|111|1|2018-01-11|AR/AGM|Annual Return @2018-01-28|""|82018-01-11T13:41:17.163|Annual Return
124|112|1|2018-01-11|BkFac|Acceptance of Guarantee Facilty from RTM (RM299,000.00)|""|52018-01-11T13:43:20.653|Bank-Facilities
125|113|1|2018-01-11|DCR|Insurance claim for vehicle no: T/BE1115|""|52018-01-11T14:10:46.800|Misc Director Resolution-
126|114|1|2018-01-11|S58|"Change of Residential Address to D-10-8
"|""|82018-01-11T18:14:00.820|F49-ResDir/Change Information
127|115|1|2018-01-11|""|Change Residential Address to D-10-8 & Sunway Damansara. |""|82018-01-11T18:17:30.570|""
128|116|1|2018-01-11|BkFac|OCBC - Banking Fac|""|32018-01-11T18:21:39.926|Bank-Facilities
129|116|2|2018-01-11|ConfirmL|Confirmation Letter - board of director|""|32018-01-11T18:21:39.926|Confirmation Letter
130|117|1|2018-01-11|S58|Change Residential Address  to D-10-8 & Sunway Damansara. |""|82018-01-11T18:22:20.438|F49-ResDir/Change Information
131|118|1|2018-01-12|S58|Updating of Passport for Smita|""|52018-01-12T08:56:10.340|F49-ResDir/Change Information
132|119|1|2018-01-12|S58|Updating passport number for Mr. Wong Wai|""|52018-01-12T09:14:42.513|F49-ResDir/Change Information
133|120|1|2018-01-12|CTC|F24, F49, F44, F9, M&A (1set)|""|62018-01-12T09:50:23.599|Certified True Copies 
134|121|1|2018-01-12|PurVeh|Purchase MV (HP)- Volkswagen Tiguan (Follow Sample Given)|""|72018-01-12T09:55:55.247|Vehicle Purchase/disposal
135|121|2|2018-01-12|PurVeh|"Disposal MV - Toyota Harrier
"|""|72018-01-12T09:55:55.247|Vehicle Purchase/disposal
136|122|1|2018-01-12|ConfirmL|Confirmation Lttr - Directors/Shareholders|""|72018-01-12T10:10:46.650|Confirmation Letter
137|123|1|2018-01-12|AC|Financial Statement@2017-06-30|""|72018-01-12T10:43:09.076|Financial Statement
139|124|1|2018-01-12|CTC|Purchase MV Nissan Almera @ 12.01.2018|""|42018-01-12T10:49:37.265|Certified True Copies 
140|125|1|2018-01-12|OpBk|open bank acc & internet banking with MBB|""|42018-01-12T11:04:03.506|Open Bank Account(s)
141|126|1|2018-01-12|AR/AGM|Annual Return@2018-01-28|""|72018-01-12T11:42:04.530|Annual Return
142|127|1|2018-01-12|CTC|""|""|92018-01-12T11:51:26.114|Certified True Copies 
143|128|1|2018-01-12|S36|"Change of Articles 1, 5 & 6
Insertion: 8"|""|52018-01-12T13:55:15.612|M&A/Constitution changes
144|128|2|2018-01-12|S58|"Resignation of:-
Mohd Fahmi & Mohamad Azmi"|""|52018-01-12T13:55:15.612|F49-ResDir/Change Information
145|129|1|2018-01-12|SecFee|"Secretarial Fee + Registered Office
- From 2015-11-10 to 2016-11-09"|""|32018-01-12T14:18:02.756|Secretarial Fee + Registered Office
146|129|2|2018-01-12|SecFee|"Secretarial Fee + Registered Office
- From 2016-11-10 to 2017-11-09"|""|32018-01-12T14:18:02.756|Secretarial Fee + Registered Office
147|130|1|2018-01-12|SecFee|"Secretarial Fee + Registered Office
- From 2017-11-10 to 2018-11-09"|""|32018-01-12T14:22:23.801|Secretarial Fee + Registered Office
148|131|1|2018-01-12|CIBk|Closing Bk Account - Standard Chartered Malaysia (MYR)|""|72018-01-12T14:40:19.640|Bank-Close Account(s)
149|132|1|2018-01-12|CIBk|Closing Bk Acc - Standard Chartered Bank Msia (MYR)|""|72018-01-12T14:45:20.349|Bank-Close Account(s)
150|134|1|2018-01-12|AR/AGM|Annual Return@2018-01-31|""|72018-01-12T15:51:22.950|Annual Return
183|162|1|2018-01-15|CTC|F49@2015-11-01, S58@2017-09-27 & S58@2017-11-03|""|42018-01-15T09:40:11.879|Certified True Copies 
151|133|1|2018-01-12|S36|Change of AA - AGM & sole director|""|32018-01-12T15:55:18.784|M&A/Constitution changes
152|133|2|2018-01-12|S58|Resignation of Director (Daud Bin Hosnan)|""|32018-01-12T15:55:18.784|F49-ResDir/Change Information
153|135|1|2018-01-12|OpBk|Opening of bank account and internet banking with MBB, TTDI branch|""|42018-01-12T16:00:47.668|Open Bank Account(s)
154|135|2|2018-01-12|CTC|"CTC
2 sets Form 49
1 sets of Form 24, Form 44, Form 9 & M&A"|""|42018-01-12T16:00:47.668|Certified True Copies 
155|136|1|2018-01-12|CIBk|close MBB,Pulau Tikus branch|""|42018-01-12T16:06:02.894|Bank-Close Account(s)
156|137|1|2018-01-12|CTC|""|""|92018-01-12T16:12:50.504|Certified True Copies 
157|138|1|2018-01-12|CTC|""|""|92018-01-12T16:13:57.173|Certified True Copies 
158|139|1|2018-01-12|CTC|""|""|92018-01-12T16:14:46.855|Certified True Copies 
159|140|1|2018-01-12|CTC|""|""|92018-01-12T16:15:15.923|Certified True Copies 
160|141|1|2018-01-12|CTC|""|""|92018-01-12T16:15:42.775|Certified True Copies 
161|142|1|2018-01-12|CTC|""|""|92018-01-12T16:16:09.668|Certified True Copies 
162|143|1|2018-01-12|CTC|""|""|92018-01-12T16:16:34.850|Certified True Copies 
163|144|1|2018-01-12|CTC|""|""|92018-01-12T16:17:05.997|Certified True Copies 
164|145|1|2018-01-12|CTC|""|""|92018-01-12T16:17:27.722|Certified True Copies 
165|146|1|2018-01-12|CTC|""|""|92018-01-12T16:18:05.278|Certified True Copies 
166|147|1|2018-01-12|CTC|""|""|92018-01-12T16:18:29.185|Certified True Copies 
167|148|1|2018-01-12|CTC|""|""|92018-01-12T16:19:03.872|Certified True Copies 
168|149|1|2018-01-12|CTC|""|""|92018-01-12T16:19:31.882|Certified True Copies 
169|150|1|2018-01-12|CTC|""|""|92018-01-12T16:20:01.807|Certified True Copies 
170|151|1|2018-01-12|CTC|""|""|92018-01-12T16:20:50.823|Certified True Copies 
171|152|1|2018-01-12|CTC|""|""|92018-01-12T16:21:15.224|Certified True Copies 
172|153|1|2018-01-12|CTC|""|""|92018-01-12T16:21:36.189|Certified True Copies 
173|154|1|2018-01-12|CTC|""|""|92018-01-12T16:22:09.778|Certified True Copies 
174|155|1|2018-01-12|CTC|""|""|92018-01-12T16:22:45.227|Certified True Copies 
175|156|1|2018-01-12|CTC|""|""|92018-01-12T16:23:21.559|Certified True Copies 
188|167|1|2018-01-15|ConfirmL|Confirmation letter to Deloitte on the Capital, shareholding and resolution passed after FYE|""|52018-01-15T11:32:20.024|Confirmation Letter
193|171|1|2018-01-15|PurVeh|Disposal of MV (WWY 1200 & WWQ 1200)|""|52018-01-15T17:55:08.573|Vehicle Purchase/disposal
197|175|1|2018-01-16|CTC|Opbk with Sumitomo Mitsui Banking Corporation Malaysia Berhad & Bank of Tokyo-Mitsubishi UFJ (Malaysia) Berhad|""|42018-01-16T12:33:30.321|Certified True Copies 
201|179|1|2018-01-16|S15|Incorporation |""|92018-01-16T14:57:12.147|Incorporation
206|182|1|2018-01-16|CTC|Vendor's copy - purchase of property dd 19 Dec 2017|""|42018-01-16T17:33:11.843|Certified True Copies 
210|186|1|2018-01-16|CTC|""|""|92018-01-16T18:04:47.106|Certified True Copies 
214|190|1|2018-01-17|AC|FS@2016-12-31|""|92018-01-17T11:19:25.550|Financial Statement
218|194|1|2018-01-17|Misc|GST Registration|""|32018-01-17T12:41:41.772|Non-secretarial assignments
222|197|1|2018-01-17|FYE|Change of FYE 31 July to 31 Dec 2017|""|72018-01-17T14:26:47.863|Fixing Financial Year End-DCR
225|200|1|2018-01-17|SecFee|- Form 2018-01-13 until 2019-01-12|""|32018-01-17T15:53:35.877|Secretarial Fee + Registered Office
228|203|1|2018-01-17|CPO|Purchase of CPO|""|92018-01-17T17:27:02.181|Purchase of CPO/Idaman
230|205|1|2018-01-18|AR/AGM|Annual Return @ 2018-02-03|""|72018-01-18T10:42:07.145|Annual Return
233|208|1|2018-01-18|CTC|DCR & MWR purchase of property with Tropikal Task SB dd 19 Dec 2017, F49, F24, F44, M&A & Directors' IC requested by Vendors, Solicitor, TAN, CHUA & LAWRENCE|""|42018-01-18T11:20:38.244|Certified True Copies 
234|209|1|2018-01-18|IntBanking|PBB - Internet banking|""|32018-01-18T12:49:30.437|Internet Banking
240|215|1|2018-01-18|AR/AGM|Annual Return@2018-02-18|""|82018-01-18T13:00:59.432|Annual Return
244|219|1|2018-01-18|IntBanking|PBB - Internet Banking|""|22018-01-18T14:38:40.499|Internet Banking
246|220|1|2018-01-18|CTC|CTC forms for RHB Annual Review|""|42018-01-18T15:44:52.781|Certified True Copies 
176|157|1|2018-01-12|S36|Change of Articles - AGM & Sole Director|""|32018-01-12T16:38:02.091|M&A/Constitution changes
177|157|2|2018-01-12|S58|Resignation of Director (Daud Bin Hosnan)|""|32018-01-12T16:38:02.091|F49-ResDir/Change Information
179|159|1|2018-01-12|S58|""|""|52018-01-12T17:11:36.852|F49-ResDir/Change Information
180|160|1|2018-01-12|AR/AGM|Annual Return @ 2018-01-06|""|72018-01-12T17:38:22.832|Annual Return
181|160|2|2018-01-12|S58|"Chg of Passport :-
- Seow Eng Hou : E4367091A
- Seow Ling Tin : E5295395J"|""|72018-01-12T17:38:22.832|F49-ResDir/Change Information
184|163|1|2018-01-15|Div|Declaration of Dividend (5/2018) - RM1,000,000|""|32018-01-15T10:21:39.807|Issuance of Dividends
189|168|1|2018-01-15|AR/AGM|Annual Return @2018-02-03|""|72018-01-15T15:36:08.786|Annual Return
194|172|1|2018-01-15|DCR|Application for extension of time FS @ 2017-01-31|""|42018-01-15T18:56:55.931|Misc Director Resolution-
198|176|1|2018-01-16|CTC|Form pursuant to Sect 17, Sect 15, Sect 14, Sect 58 & Passport of Kazuya Takeuchi & Yuji Hayashi|""|42018-01-16T12:42:18.864|Certified True Copies 
202|180|1|2018-01-16|AC|FS @ 2016-12-31|""|42018-01-16T15:11:28.170|Financial Statement
207|183|1|2018-01-16|CTC|""|""|92018-01-16T17:56:39.805|Certified True Copies 
