paymentitem_id|payment_id|billingitem_id|payment_amount|payment_tax|payment_total|payment_taxrate|payment_balance
51|14|418|50.00|3.00|53.00|6.00|53.00
52|14|419|15.00|0.90|15.90|6.00|15.90
53|14|420|15.00|0.90|15.90|6.00|15.90
54|14|421|200.00|0.00|200.00|6.00|200.00
55|15|15|2000.00|120.00|2120.00|6.00|2120.00
56|15|17|33.00|1.98|34.98|6.00|34.98
57|15|18|33.00|1.98|34.98|6.00|34.98
58|15|19|200.00|0.00|200.00|6.00|200.00
59|15|20|106.00|0.00|106.00|6.00|106.00
60|15|21|30.00|0.00|30.00|6.00|30.00
61|15|22|15.90|0.00|15.90|6.00|15.90
62|15|16|432.21|25.93|458.14|6.00|458.14
63|16|441|100.00|6.00|106.00|6.00|106.00
64|17|233|840.00|50.40|890.40|6.00|890.40
65|18|87|140.00|8.40|148.40|6.00|148.40
66|18|89|21.68|1.30|22.98|6.00|22.98
67|18|88|27.00|1.62|28.62|6.00|28.62
68|18|90|50.00|0.00|50.00|6.00|50.00
69|19|428|330.00|19.80|349.80|6.00|349.80
70|19|429|35.00|2.10|37.10|6.00|37.10
71|19|430|59.53|3.57|63.10|6.00|63.10
72|19|431|50.00|0.00|50.00|6.00|50.00
73|20|328|24.00|1.44|25.44|6.00|25.44
74|20|329|15.00|0.90|15.90|6.00|15.90
75|20|330|30.00|0.00|30.00|6.00|30.00
76|20|326|200.00|12.00|212.00|6.00|212.00
77|20|327|300.00|18.00|318.00|6.00|318.00
78|21|47|18.21|1.09|19.30|6.00|19.30
79|21|45|50.00|3.00|53.00|6.00|53.00
80|21|49|25.00|1.50|26.50|6.00|26.50
81|22|184|840.00|50.40|890.40|6.00|890.40
82|23|262|142.00|8.52|150.52|6.00|150.52
83|23|263|66.00|3.96|69.96|6.00|69.96
84|23|264|15.00|0.90|15.90|6.00|15.90
85|24|331|840.00|50.40|890.40|6.00|890.40
86|24|332|840.00|50.40|890.40|6.00|890.40
87|24|333|397.55|23.85|421.40|6.00|890.40
88|25|357|840.00|50.40|890.40|6.00|890.40
89|26|60|15.00|0.90|15.90|6.00|15.90
90|26|50|1000.00|0.00|1000.00|6.00|1000.00
91|26|48|150.00|9.00|159.00|6.00|159.00
92|26|58|89.62|5.38|95.00|6.00|95.00
93|26|61|50.00|0.00|50.00|6.00|50.00
94|26|44|1390.00|83.40|1473.40|6.00|1473.40
95|26|59|25.00|1.50|26.50|6.00|26.50
96|26|51|10.00|0.60|10.60|6.00|10.60
97|26|46|160.00|9.60|169.60|6.00|169.60
98|27|202|110.00|6.60|116.60|6.00|116.60
99|27|203|840.00|50.40|890.40|6.00|890.40
100|27|204|35.00|2.10|37.10|6.00|37.10
101|28|204|35.00|2.10|37.10|6.00|37.10
102|28|205|19.72|1.18|20.90|6.00|20.90
103|28|202|110.00|6.60|116.60|6.00|116.60
104|28|203|840.00|50.40|890.40|6.00|890.40
105|29|475|400.00|24.00|424.00|6.00|424.00
106|29|477|21.70|1.30|23.00|6.00|23.00
107|29|476|50.00|3.00|53.00|6.00|53.00
108|30|15|2000.00|120.00|2120.00|6.00|2120.00
109|30|17|33.00|1.98|34.98|6.00|34.98
110|30|18|33.00|1.98|34.98|6.00|34.98
111|30|19|200.00|0.00|200.00|6.00|200.00
112|30|21|30.00|0.00|30.00|6.00|30.00
113|30|20|100.00|6.00|106.00|6.00|106.00
114|30|22|15.00|0.90|15.90|6.00|15.90
115|30|16|432.21|25.93|458.14|6.00|458.14
116|31|440|160.00|9.60|169.60|6.00|169.60
117|31|435|840.00|50.40|890.40|6.00|890.40
118|31|433|80.00|4.80|84.80|6.00|84.80
119|31|436|1000.00|0.00|1000.00|6.00|1000.00
120|31|434|94.25|5.66|99.91|6.00|99.91
121|31|432|190.84|11.45|202.29|6.00|202.29
122|31|437|10.00|0.60|10.60|6.00|10.60
123|31|438|25.00|1.50|26.50|6.00|26.50
124|31|439|15.00|0.90|15.90|6.00|15.90
125|32|240|15.00|0.90|15.90|6.00|15.90
126|32|238|600.00|36.00|636.00|6.00|636.00
127|32|239|15.00|0.90|15.90|6.00|15.90
128|33|537|140.00|8.40|148.40|6.00|148.40
129|33|538|27.00|1.62|28.62|6.00|28.62
130|33|539|21.68|1.30|22.98|6.00|22.98
131|33|540|50.00|0.00|50.00|6.00|50.00
132|34|128|20.00|1.20|21.20|6.00|21.20
133|34|129|200.00|0.00|200.00|6.00|200.00
134|34|126|50.00|3.00|53.00|6.00|53.00
135|34|127|25.00|1.50|26.50|6.00|26.50
136|35|305|50.00|3.00|53.00|6.00|53.00
137|35|306|15.00|0.90|15.90|6.00|15.90
138|35|307|15.00|0.90|15.90|6.00|15.90
139|35|308|100.00|0.00|100.00|6.00|100.00
140|36|451|50.00|3.00|53.00|6.00|53.00
141|36|452|25.00|1.50|26.50|6.00|26.50
142|36|453|15.00|0.90|15.90|6.00|15.90
143|37|579|15.00|0.90|15.90|6.00|15.90
144|37|580|200.00|0.00|200.00|6.00|200.00
145|37|577|50.00|3.00|53.00|6.00|53.00
146|37|578|15.00|0.90|15.90|6.00|15.90
147|38|394|200.00|12.00|212.00|6.00|212.00
148|38|395|25.00|1.50|26.50|6.00|26.50
149|38|400|20.00|1.20|21.20|6.00|21.20
150|39|557|90.00|5.40|95.40|6.00|95.40
151|39|560|15.00|0.90|15.90|6.00|15.90
152|39|559|15.00|0.90|15.90|6.00|15.90
153|40|152|140.00|8.40|148.40|6.00|148.40
154|40|153|27.00|1.62|28.62|6.00|28.62
155|40|154|21.68|1.30|22.98|6.00|22.98
156|40|155|50.00|0.00|50.00|6.00|50.00
157|41|610|59.53|3.57|63.10|6.00|63.10
158|41|608|330.00|19.80|349.80|6.00|349.80
159|41|609|35.00|2.10|37.10|6.00|37.10
160|41|611|50.00|0.00|50.00|6.00|50.00
161|42|191|840.00|50.40|890.40|6.00|890.40
162|43|594|50.00|3.00|53.00|6.00|53.00
163|43|595|35.00|2.10|37.10|6.00|37.10
164|43|596|15.00|0.90|15.90|6.00|15.90
165|44|641|27.00|1.62|28.62|6.00|28.62
166|44|640|200.00|12.00|212.00|6.00|212.00
167|44|642|23.00|1.38|24.38|6.00|24.38
168|44|644|50.00|0.00|50.00|6.00|50.00
169|44|643|150.00|0.00|150.00|6.00|150.00
170|44|645|200.00|0.00|200.00|6.00|200.00
171|45|278|27.00|1.62|28.62|6.00|28.62
172|45|277|200.00|12.00|212.00|6.00|212.00
173|45|279|23.00|1.38|24.38|6.00|24.38
174|45|280|150.00|0.00|150.00|6.00|150.00
175|46|316|140.00|8.40|148.40|6.00|148.40
176|46|317|27.00|1.62|28.62|6.00|28.62
177|46|320|50.00|0.00|50.00|6.00|50.00
178|46|319|33.00|1.98|34.98|6.00|34.98
179|46|522|36.00|2.16|38.16|6.00|38.16
180|46|523|50.00|3.00|53.00|6.00|53.00
181|46|524|15.00|0.90|15.90|6.00|15.90
182|46|525|15.04|0.90|15.94|6.00|15.94
183|46|513|200.00|12.00|212.00|6.00|212.00
184|46|514|150.00|0.00|150.00|6.00|150.00
185|47|661|50.00|3.00|53.00|6.00|53.00
186|48|344|20.00|1.20|21.20|6.00|21.20
187|48|340|300.00|18.00|318.00|6.00|318.00
188|48|341|70.00|4.20|74.20|6.00|74.20
189|48|342|35.00|2.10|37.10|6.00|37.10
190|48|359|30.00|0.00|30.00|6.00|30.00
191|49|353|300.00|18.00|318.00|6.00|318.00
192|49|354|70.00|4.20|74.20|6.00|74.20
193|49|355|35.00|2.10|37.10|6.00|37.10
194|49|356|20.00|1.20|21.20|6.00|21.20
195|49|360|30.00|0.00|30.00|6.00|30.00
196|50|679|260.00|15.60|275.60|6.00|275.60
197|50|684|100.00|6.00|106.00|6.00|106.00
198|50|680|27.00|1.62|28.62|6.00|28.62
199|50|681|23.00|1.38|24.38|6.00|24.38
200|50|682|500.00|0.00|500.00|6.00|500.00
201|50|685|200.00|0.00|200.00|6.00|200.00
202|51|424|200.00|12.00|212.00|6.00|212.00
203|51|425|27.00|1.62|28.62|6.00|28.62
204|51|427|150.00|0.00|150.00|6.00|150.00
205|51|426|23.00|1.38|24.38|6.00|24.38
206|52|586|200.00|12.00|212.00|6.00|212.00
207|52|587|23.00|1.38|24.38|6.00|24.38
208|52|588|27.00|1.62|28.62|6.00|28.62
209|52|589|150.00|0.00|150.00|6.00|150.00
210|53|242|27.00|1.62|28.62|6.00|28.62
211|53|243|21.68|1.30|22.98|6.00|22.98
212|53|244|50.00|0.00|50.00|6.00|50.00
213|53|241|140.00|8.40|148.40|6.00|148.40
214|54|600|840.00|50.40|890.40|6.00|890.40
215|55|259|23.00|1.38|24.38|6.00|24.38
216|55|260|150.00|0.00|150.00|6.00|150.00
217|55|261|50.00|0.00|50.00|6.00|50.00
218|55|257|140.00|8.40|148.40|6.00|148.40
219|55|258|27.00|1.62|28.62|6.00|28.62
220|55|256|200.00|12.00|212.00|6.00|212.00
221|56|530|150.00|9.00|159.00|6.00|159.00
222|56|531|15.00|0.90|15.90|6.00|15.90
223|56|532|15.00|0.90|15.90|6.00|15.90
224|57|246|27.00|1.62|28.62|6.00|28.62
225|57|245|140.00|8.40|148.40|6.00|148.40
226|57|247|21.68|1.30|22.98|6.00|22.98
227|57|248|50.00|0.00|50.00|6.00|50.00
228|58|134|25.00|1.50|26.50|6.00|26.50
229|58|132|250.00|15.00|265.00|6.00|265.00
230|58|133|45.00|2.70|47.70|6.00|47.70
231|58|413|100.00|6.00|106.00|6.00|106.00
232|58|414|35.00|2.10|37.10|6.00|37.10
233|59|561|23.00|1.38|24.38|6.00|24.38
234|59|556|200.00|12.00|212.00|6.00|212.00
235|59|558|27.00|1.62|28.62|6.00|28.62
236|59|562|150.00|0.00|150.00|6.00|150.00
237|59|632|18.02|1.08|19.10|6.00|19.10
238|60|114|200.00|12.00|212.00|6.00|212.00
239|60|116|23.00|1.38|24.38|6.00|24.38
240|60|117|150.00|0.00|150.00|6.00|150.00
241|60|115|27.00|1.62|28.62|6.00|28.62
242|60|174|18.02|1.08|19.10|6.00|19.10
243|60|189|350.00|21.00|371.00|6.00|371.00
244|60|190|90.00|5.40|95.40|6.00|95.40
245|60|198|50.00|3.00|53.00|6.00|53.00
246|60|199|35.00|2.10|37.10|6.00|37.10
247|60|200|30.00|0.00|30.00|6.00|30.00
248|60|201|147.00|0.00|147.00|6.00|147.00
249|60|192|130.00|7.80|137.80|6.00|137.80
250|60|197|230.00|13.80|243.80|6.00|243.80
251|60|581|20.00|0.00|20.00|6.00|20.00
252|61|467|840.00|50.40|890.40|6.00|890.40
253|62|39|70.00|4.20|74.20|6.00|74.20
254|62|40|25.00|1.50|26.50|6.00|26.50
255|62|41|20.00|1.20|21.20|6.00|21.20
256|62|80|200.00|12.00|212.00|6.00|212.00
257|62|82|23.00|1.38|24.38|6.00|24.38
258|62|81|27.00|1.62|28.62|6.00|28.62
259|62|83|150.00|0.00|150.00|6.00|150.00
260|63|442|80.00|4.80|84.80|6.00|84.80
261|63|443|80.00|4.80|84.80|6.00|84.80
262|63|444|22.00|1.32|23.32|6.00|23.32
263|63|446|20.36|1.22|21.58|6.00|21.58
264|63|445|25.00|1.50|26.50|6.00|26.50
265|64|170|140.00|8.40|148.40|6.00|148.40
266|64|171|27.00|1.62|28.62|6.00|28.62
267|64|172|21.68|1.30|22.98|6.00|22.98
268|64|173|50.00|0.00|50.00|6.00|50.00
269|65|160|840.00|50.40|890.40|6.00|890.40
270|66|717|80.00|4.80|84.80|6.00|84.80
271|66|718|24.00|1.44|25.44|6.00|25.44
272|66|719|15.00|0.90|15.90|6.00|15.90
273|67|100|23.00|1.38|24.38|6.00|24.38
274|67|98|200.00|12.00|212.00|6.00|212.00
275|67|99|27.00|1.62|28.62|6.00|28.62
276|67|101|150.00|0.00|150.00|6.00|150.00
277|68|145|140.00|8.40|148.40|6.00|148.40
278|68|147|21.68|1.30|22.98|6.00|22.98
279|68|146|27.00|1.62|28.62|6.00|28.62
280|68|148|50.00|0.00|50.00|6.00|50.00
281|69|497|840.00|50.40|890.40|6.00|890.40
282|70|488|840.00|50.40|890.40|6.00|890.40
283|71|220|64.00|3.84|67.84|6.00|67.84
284|71|221|27.00|1.62|28.62|6.00|28.62
285|72|709|177.00|10.62|187.62|6.00|187.62
286|72|710|30.00|0.00|30.00|6.00|30.00
287|72|711|15.00|0.90|15.90|6.00|15.90
288|72|712|15.00|0.90|15.90|6.00|15.90
289|73|590|200.00|12.00|212.00|6.00|212.00
290|73|591|27.00|1.62|28.62|6.00|28.62
291|73|592|23.00|1.38|24.38|6.00|24.38
292|73|593|150.00|0.00|150.00|6.00|150.00
293|74|747|100.00|0.00|100.00|6.00|100.00
294|75|141|200.00|12.00|212.00|6.00|212.00
295|75|142|27.00|1.62|28.62|6.00|28.62
296|75|144|150.00|0.00|150.00|6.00|150.00
297|75|143|23.00|1.38|24.38|6.00|24.38
298|75|118|50.00|3.00|53.00|6.00|53.00
299|75|120|200.00|0.00|200.00|6.00|200.00
300|75|763|840.00|50.40|890.40|6.00|890.40
301|76|668|200.00|12.00|212.00|6.00|212.00
302|76|669|27.00|1.62|28.62|6.00|28.62
303|76|670|23.00|1.38|24.38|6.00|24.38
304|76|671|150.00|0.00|150.00|6.00|150.00
305|76|672|150.00|0.00|150.00|6.00|150.00
306|77|765|840.00|50.40|890.40|6.00|890.40
307|77|323|23.00|1.38|24.38|6.00|24.38
308|77|324|150.00|0.00|150.00|6.00|150.00
309|77|321|200.00|12.00|212.00|6.00|212.00
310|77|322|27.00|1.62|28.62|6.00|28.62
311|77|404|18.02|1.08|19.10|6.00|19.10
312|78|813|100.00|0.00|100.00|6.00|100.00
313|79|635|200.00|12.00|212.00|6.00|212.00
314|79|637|27.00|1.62|28.62|6.00|28.62
315|79|638|23.00|1.38|24.38|6.00|24.38
316|79|639|150.00|0.00|150.00|6.00|150.00
317|80|222|100.00|6.00|106.00|6.00|106.00
318|80|223|15.00|0.90|15.90|6.00|15.90
319|80|225|15.00|0.90|15.90|6.00|15.90
320|81|921|23.10|1.39|24.49|6.00|24.49
321|81|922|15.00|0.90|15.90|6.00|15.90
322|81|919|90.00|5.40|95.40|6.00|95.40
323|81|-2|""|""|0.01|0.00|0.00
324|82|509|50.00|3.00|53.00|6.00|53.00
325|82|511|26.70|1.60|28.30|6.00|28.30
326|82|510|22.00|1.32|23.32|6.00|23.32
327|82|512|24.00|1.44|25.44|6.00|25.44
328|83|713|54.00|3.24|57.24|6.00|57.24
329|83|714|15.00|0.90|15.90|6.00|15.90
330|84|568|27.00|1.62|28.62|6.00|28.62
331|84|569|23.00|1.38|24.38|6.00|24.38
332|84|570|150.00|0.00|150.00|6.00|150.00
333|84|567|200.00|12.00|212.00|6.00|212.00
334|85|157|430.00|25.80|455.80|6.00|455.80
335|86|1047|200.00|0.00|200.00|6.00|200.00
336|87|776|50.00|3.00|53.00|6.00|53.00
337|87|777|15.00|0.90|15.90|6.00|15.90
338|87|778|15.00|0.90|15.90|6.00|15.90
339|88|693|54.00|3.24|57.24|6.00|57.24
340|88|694|42.00|2.52|44.52|6.00|44.52
341|88|695|34.00|2.04|36.04|6.00|36.04
342|88|890|80.00|4.80|84.80|6.00|84.80
343|88|891|15.00|0.90|15.90|6.00|15.90
344|88|892|15.00|0.90|15.90|6.00|15.90
345|89|176|27.00|1.62|28.62|6.00|28.62
346|89|175|200.00|12.00|212.00|6.00|212.00
347|89|177|23.00|1.38|24.38|6.00|24.38
348|89|178|150.00|0.00|150.00|6.00|150.00
349|89|291|50.00|3.00|53.00|6.00|53.00
350|89|310|200.00|0.00|200.00|6.00|200.00
351|89|362|15.00|0.90|15.90|6.00|15.90
352|89|363|24.00|1.44|25.44|6.00|25.44
353|89|361|200.00|12.00|212.00|6.00|212.00
354|89|734|24.00|1.44|25.44|6.00|25.44
355|89|735|15.00|0.90|15.90|6.00|15.90
356|89|733|400.00|24.00|424.00|6.00|424.00
357|89|1001|840.00|50.40|890.40|6.00|890.40
358|90|675|200.00|12.00|212.00|6.00|212.00
359|90|676|27.00|1.62|28.62|6.00|28.62
360|90|677|23.00|1.38|24.38|6.00|24.38
361|90|678|150.00|0.00|150.00|6.00|150.00
362|91|1135|1390.00|83.40|1473.40|6.00|1473.40
363|91|1142|15.00|0.90|15.90|6.00|15.90
364|91|1136|160.00|9.60|169.60|6.00|169.60
365|91|1137|150.00|9.00|159.00|6.00|159.00
366|91|1138|89.62|5.38|95.00|6.00|95.00
367|91|1141|25.00|1.50|26.50|6.00|26.50
368|91|1139|1000.00|0.00|1000.00|6.00|1000.00
369|91|1140|10.00|0.60|10.60|6.00|10.60
370|91|1143|50.00|0.00|50.00|6.00|50.00
371|92|156|840.00|50.40|890.40|6.00|890.40
372|92|716|50.00|0.00|50.00|6.00|50.00
373|92|715|100.00|6.00|106.00|6.00|106.00
374|93|868|50.00|3.00|53.00|6.00|53.00
375|93|869|15.00|0.90|15.90|6.00|15.90
376|93|870|15.00|0.90|15.90|6.00|15.90
377|94|601|840.00|50.40|890.40|6.00|890.40
378|95|526|200.00|12.00|212.00|6.00|212.00
379|95|528|23.00|1.38|24.38|6.00|24.38
380|95|527|27.00|1.62|28.62|6.00|28.62
381|95|529|150.00|0.00|150.00|6.00|150.00
382|96|519|27.00|1.62|28.62|6.00|28.62
383|96|521|150.00|0.00|150.00|6.00|150.00
384|96|518|200.00|12.00|212.00|6.00|212.00
385|96|520|23.00|1.38|24.38|6.00|24.38
386|97|396|140.00|8.40|148.40|6.00|148.40
387|97|398|27.00|1.62|28.62|6.00|28.62
388|97|397|21.68|1.30|22.98|6.00|22.98
389|97|399|50.00|0.00|50.00|6.00|50.00
390|98|63|200.00|12.00|212.00|6.00|212.00
391|98|64|27.00|1.62|28.62|6.00|28.62
392|98|65|23.00|1.38|24.38|6.00|24.38
393|98|66|150.00|0.00|150.00|6.00|150.00
394|98|364|18.00|1.08|19.08|6.00|19.08
395|99|350|840.00|50.40|890.40|6.00|890.40
396|100|149|840.00|50.40|890.40|6.00|890.40
397|101|646|50.00|3.00|53.00|6.00|53.00
398|101|647|27.00|1.62|28.62|6.00|28.62
399|101|648|23.00|1.38|24.38|6.00|24.38
400|101|726|15.00|0.90|15.90|6.00|15.90
401|102|1215|59.53|3.57|63.10|6.00|63.10
402|102|1216|35.00|2.10|37.10|6.00|37.10
403|102|1217|50.00|0.00|50.00|6.00|50.00
404|102|1214|330.00|19.80|349.80|6.00|349.80
405|103|63|200.00|12.00|212.00|6.00|212.00
406|103|64|27.00|1.62|28.62|6.00|28.62
407|103|65|23.00|1.38|24.38|6.00|24.38
408|103|66|150.00|0.00|150.00|6.00|150.00
409|103|364|18.00|1.08|19.08|6.00|19.08
410|103|484|389.08|23.35|412.43|6.00|890.40
411|104|11|140.00|8.40|148.40|6.00|148.40
412|104|12|27.00|1.62|28.62|6.00|28.62
413|104|13|21.68|1.30|22.98|6.00|22.98
414|104|14|50.00|0.00|50.00|6.00|50.00
415|105|893|200.00|12.00|212.00|6.00|212.00
416|105|894|23.00|1.38|24.38|6.00|24.38
417|105|895|27.00|1.62|28.62|6.00|28.62
418|105|896|150.00|0.00|150.00|6.00|150.00
419|106|801|50.00|3.00|53.00|6.00|53.00
420|106|802|25.00|1.50|26.50|6.00|26.50
421|106|803|15.00|0.90|15.90|6.00|15.90
422|107|804|140.00|8.40|148.40|6.00|148.40
423|107|805|27.00|1.62|28.62|6.00|28.62
424|107|806|21.68|1.30|22.98|6.00|22.98
425|107|807|50.00|0.00|50.00|6.00|50.00
426|108|779|1490.00|89.40|1579.40|6.00|1579.40
427|108|780|160.00|9.60|169.60|6.00|169.60
428|108|781|150.00|9.00|159.00|6.00|159.00
429|108|782|89.62|5.38|95.00|6.00|95.00
430|108|783|1000.00|0.00|1000.00|6.00|1000.00
431|108|784|10.00|0.60|10.60|6.00|10.60
432|108|785|25.00|1.50|26.50|6.00|26.50
433|108|787|15.00|0.90|15.90|6.00|15.90
434|108|786|50.00|0.00|50.00|6.00|50.00
435|109|819|200.00|12.00|212.00|6.00|212.00
436|109|820|27.00|1.62|28.62|6.00|28.62
437|109|821|23.00|1.38|24.38|6.00|24.38
438|109|822|150.00|0.00|150.00|6.00|150.00
439|110|819|200.00|12.00|212.00|6.00|212.00
440|110|820|27.00|1.62|28.62|6.00|28.62
441|110|821|23.00|1.38|24.38|6.00|24.38
442|110|822|150.00|0.00|150.00|6.00|150.00
443|111|830|50.00|3.00|53.00|6.00|53.00
444|111|831|15.00|0.90|15.90|6.00|15.90
445|112|951|50.00|0.00|50.00|6.00|50.00
446|113|703|840.00|50.40|890.40|6.00|890.40
447|113|71|27.00|1.62|28.62|6.00|28.62
448|113|72|23.00|1.38|24.38|6.00|24.38
449|113|70|200.00|12.00|212.00|6.00|212.00
450|113|73|150.00|0.00|150.00|6.00|150.00
451|114|968|15.00|0.90|15.90|6.00|15.90
452|114|967|34.00|2.04|36.04|6.00|36.04
453|114|966|272.00|16.32|288.32|6.00|288.32
454|115|955|270.00|16.20|286.20|6.00|286.20
455|115|957|50.00|3.00|53.00|6.00|53.00
456|115|956|76.00|4.56|80.56|6.00|80.56
457|116|1151|23.00|1.38|24.38|6.00|24.38
458|116|1152|150.00|0.00|150.00|6.00|150.00
459|116|1149|200.00|12.00|212.00|6.00|212.00
460|116|1150|27.00|1.62|28.62|6.00|28.62
461|116|1310|840.00|50.40|890.40|6.00|890.40
462|117|909|310.00|18.60|328.60|6.00|328.60
463|117|910|51.00|3.06|54.06|6.00|54.06
464|117|911|20.40|1.22|21.62|6.00|21.62
465|118|107|250.00|15.00|265.00|6.00|265.00
466|118|110|3.00|0.00|3.00|6.00|3.00
467|118|108|27.64|1.66|29.30|6.00|29.30
468|118|106|180.00|10.80|190.80|6.00|190.80
469|118|109|66.04|3.96|70.00|6.00|70.00
470|119|1399|50.00|3.00|53.00|6.00|53.00
471|119|1403|50.00|3.00|53.00|6.00|53.00
472|119|1396|330.00|19.80|349.80|6.00|349.80
473|119|1393|100.00|6.00|106.00|6.00|106.00
474|119|1394|90.00|5.40|95.40|6.00|95.40
475|119|1412|69.00|4.14|73.14|6.00|73.14
476|119|1413|69.02|4.14|73.16|6.00|73.16
477|119|1395|250.00|15.00|265.00|6.00|265.00
478|119|1397|50.00|3.00|53.00|6.00|53.00
479|120|265|12.00|0.00|12.00|6.00|12.00
480|120|493|140.00|8.40|148.40|6.00|148.40
481|120|494|27.00|1.62|28.62|6.00|28.62
482|120|495|21.68|1.30|22.98|6.00|22.98
483|120|496|50.00|0.00|50.00|6.00|50.00
484|121|485|601.32|36.08|637.40|6.00|890.40
485|122|489|140.00|8.40|148.40|6.00|148.40
486|122|490|27.00|1.62|28.62|6.00|28.62
487|122|491|21.68|1.30|22.98|6.00|22.98
488|122|492|50.00|0.00|50.00|6.00|50.00
489|123|732|3.00|0.00|3.00|6.00|3.00
490|124|1290|135.00|8.10|143.10|6.00|159.00
491|125|5|200.00|12.00|212.00|6.00|212.00
492|125|6|25.00|1.50|26.50|6.00|26.50
493|125|7|20.00|1.20|21.20|6.00|21.20
494|126|728|200.00|12.00|212.00|6.00|212.00
495|126|729|27.00|1.62|28.62|6.00|28.62
496|126|730|23.00|1.38|24.38|6.00|24.38
497|126|731|150.00|0.00|150.00|6.00|150.00
498|126|1193|50.00|0.00|50.00|6.00|50.00
499|126|1189|50.00|0.00|50.00|6.00|50.00
500|126|1190|140.00|8.40|148.40|6.00|148.40
501|127|790|21.68|1.30|22.98|6.00|22.98
502|127|788|140.00|8.40|148.40|6.00|148.40
503|127|789|27.00|1.62|28.62|6.00|28.62
504|127|791|50.00|0.00|50.00|6.00|50.00
505|128|1336|17.70|1.06|18.76|6.00|18.76
506|128|1337|24.00|1.44|25.44|6.00|25.44
507|128|1335|6.00|0.36|6.36|6.00|6.36
508|129|1205|15.00|0.90|15.90|6.00|15.90
509|129|1204|15.00|0.90|15.90|6.00|15.90
510|129|1203|50.00|3.00|53.00|6.00|53.00
511|130|1099|27.00|1.62|28.62|6.00|28.62
512|130|1100|150.00|0.00|150.00|6.00|150.00
513|130|1098|200.00|12.00|212.00|6.00|212.00
514|130|1101|23.00|1.38|24.38|6.00|24.38
515|130|1366|840.00|50.40|890.40|6.00|890.40
516|131|619|25.00|1.50|26.50|6.00|26.50
517|131|617|1000.00|0.00|1000.00|6.00|1000.00
518|131|614|160.00|9.60|169.60|6.00|169.60
519|131|615|115.00|6.90|121.90|6.00|121.90
520|131|618|10.00|0.60|10.60|6.00|10.60
521|131|612|270.00|16.20|286.20|6.00|286.20
522|131|613|840.00|50.40|890.40|6.00|890.40
523|131|616|45.09|2.71|47.80|6.00|47.80
524|131|620|15.00|0.90|15.90|6.00|15.90
525|131|1051|50.00|3.00|53.00|6.00|53.00
526|131|1052|50.00|0.00|50.00|6.00|50.00
527|131|1053|15.00|0.90|15.90|6.00|15.90
528|132|485|235.85|14.15|250.00|6.00|253.00
529|133|920|140.00|8.40|148.40|6.00|148.40
530|133|923|27.00|1.62|28.62|6.00|28.62
531|133|924|21.68|1.30|22.98|6.00|22.98
