ar_id|company_id|ar_date|ar_reminderdate|ar_submissiondate|ar_status|ar_fileddate
104|14|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
106|14|2013-06-28|2013-05-01|2013-07-28|t|2013-06-28
108|14|2015-12-31|2015-11-01|2016-01-30|t|2015-12-31
111|16|2018-07-28|2018-06-01|2018-08-27|f|
113|18|2018-05-30|2018-04-01|2018-06-29|f|
114|17|2013-11-30|2013-10-01|2013-12-30|t|2013-11-30
116|17|2014-12-31|2014-11-01|2015-01-30|t|2014-12-31
118|17|2015-12-31|2015-11-01|2016-01-30|t|2015-12-31
120|17|2016-11-14|2016-10-01|2016-12-14|t|2016-11-14
122|17|2017-05-30|2017-04-01|2017-06-29|t|2017-05-30
125|19|2013-08-26|2013-07-01|2013-09-25|t|2013-08-26
127|19|2014-08-30|2014-07-01|2014-09-29|t|2014-08-30
129|19|2015-08-28|2015-07-01|2015-09-27|t|2015-08-28
131|19|2016-08-29|2016-07-01|2016-09-28|t|2016-08-29
133|19|2017-02-27|2017-01-01|2017-03-29|t|2017-02-27
136|20|2013-11-04|2013-10-01|2013-12-04|t|2013-11-04
139|21|2010-06-10|2010-05-01|2010-07-10|t|2010-06-10
141|21|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
143|21|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
145|21|2013-06-30|2013-05-01|2013-07-30|t|2013-06-30
149|23|2001-06-06|2001-05-01|2001-07-06|t|2001-06-06
151|23|2002-06-29|2002-05-01|2002-07-29|t|2002-06-29
153|23|2003-06-30|2003-05-01|2003-07-30|t|2003-06-30
155|23|2004-06-30|2004-05-01|2004-07-30|t|2004-06-30
157|23|2005-06-30|2005-05-01|2005-07-30|t|2005-06-30
159|23|2006-06-30|2006-05-01|2006-07-30|t|2006-06-30
161|23|2007-06-30|2007-05-01|2007-07-30|t|2007-06-30
163|23|2008-06-30|2008-05-01|2008-07-30|t|2008-06-30
165|23|2009-06-30|2009-05-01|2009-07-30|t|2009-06-30
167|23|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
169|23|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
171|23|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
173|23|2013-06-30|2013-05-01|2013-07-30|t|2013-06-30
190|24|2007-03-30|2007-02-01|2007-04-29|t|2007-03-30
175|23|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
177|23|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
179|23|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
192|24|2008-03-28|2008-02-01|2008-04-27|t|2008-03-28
889|61|2018-06-20|2018-05-01|2018-07-20|f|
890|59|2015-03-31|2015-02-01|2015-04-30|t|2015-03-31
134|19|2018-02-27|2018-01-01|2018-03-29|t|2018-03-02
147|22|2014-08-03|2014-07-01|2014-09-02|f|
1251|95|2018-04-15|2018-03-01|2018-05-15|t|2018-05-03
123|17|2018-05-30|2018-04-01|2018-06-29|t|2018-05-31
54|9|2018-06-03|2018-05-01|2018-07-03|t|2018-06-08
421|37|2013-03-18|2013-02-01|2013-04-17|t|2013-03-18
184|24|2004-01-23|2003-12-01|2004-02-22|t|2004-01-23
186|24|2005-03-31|2005-02-01|2005-04-30|t|2005-03-31
194|24|2009-03-31|2009-02-01|2009-04-30|t|2009-03-31
188|24|2006-03-31|2006-02-01|2006-04-30|t|2006-03-31
196|24|2010-03-31|2010-02-01|2010-04-30|t|2010-03-31
423|37|2014-06-18|2014-05-01|2014-07-18|t|2014-06-18
198|24|2011-03-31|2011-02-01|2011-04-30|t|2011-03-31
200|24|2012-03-24|2012-02-01|2012-04-23|t|2012-03-24
425|37|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
202|24|2013-12-31|2013-11-01|2014-01-30|t|2013-12-31
204|24|2017-07-24|2017-06-01|2017-08-23|t|2017-07-24
205|24|2018-07-24|2018-06-01|2018-08-23|f|
427|37|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
207|25|2009-06-30|2009-05-01|2009-07-30|t|2009-06-30
209|25|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
892|59|2016-08-25|2016-07-01|2016-09-24|t|2016-08-25
211|25|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
213|25|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
215|25|2013-06-30|2013-05-01|2013-07-30|t|2013-06-30
896|62|2018-01-13|2017-12-01|2018-02-12|f|
217|25|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
295|14|2017-10-22|2017-09-01|2017-11-21|t|2017-11-28
219|25|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
232|25|2018-01-02|2017-12-01|2018-02-01|t|2018-01-18
221|25|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
905|63|2018-06-30|2018-05-01|2018-07-30|f|
225|26|2017-10-20|2017-09-01|2017-11-19|f|
227|27|2001-03-21|2001-02-01|2001-04-20|t|2001-03-21
452|38|2017-03-03|2017-02-01|2017-04-02|t|2017-03-03
229|27|2002-06-29|2002-05-01|2002-07-29|t|2002-06-29
231|27|2003-06-30|2003-05-01|2003-07-30|t|2003-06-30
233|27|2004-06-30|2004-05-01|2004-07-30|t|2004-06-30
235|27|2005-06-30|2005-05-01|2005-07-30|t|2005-06-30
237|27|2006-06-30|2006-05-01|2006-07-30|t|2006-06-30
239|27|2007-06-30|2007-05-01|2007-07-30|t|2007-06-30
241|27|2008-06-30|2008-05-01|2008-07-30|t|2008-06-30
243|27|2009-06-30|2009-05-01|2009-07-30|t|2009-06-30
245|27|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
247|27|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
249|27|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
251|27|2013-06-30|2013-05-01|2013-07-30|t|2013-06-30
478|39|2018-06-02|2018-05-01|2018-07-02|f|
253|27|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
255|27|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
258|28|2009-05-11|2009-04-01|2009-06-10|t|2009-05-11
480|40|1998-02-05|1998-01-01|1998-03-07|t|1998-02-05
260|28|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
262|28|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
482|40|1999-05-04|1999-04-01|1999-06-03|t|1999-05-04
264|28|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
266|28|2013-06-28|2013-05-01|2013-07-28|t|2013-06-28
484|40|2000-06-30|2000-05-01|2000-07-30|t|2000-06-30
268|28|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
270|28|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
486|40|2001-06-30|2001-05-01|2001-07-30|t|2001-06-30
272|28|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
274|28|2017-04-01|2017-03-01|2017-05-01|t|2017-04-01
488|40|2002-06-29|2002-05-01|2002-07-29|t|2002-06-29
277|29|2014-05-20|2014-04-01|2014-06-19|t|2014-05-20
279|29|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
281|29|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
283|29|2017-06-30|2017-05-01|2017-07-30|t|2017-06-30
286|30|1997-11-15|1997-10-01|1997-12-15|t|1997-11-15
288|30|1998-12-31|1998-11-01|1999-01-30|t|1998-12-31
290|30|1999-12-31|1999-11-01|2000-01-30|t|1999-12-31
292|30|2000-12-30|2000-11-01|2001-01-29|t|2000-12-30
294|30|2001-12-31|2001-11-01|2002-01-30|t|2001-12-31
296|30|2002-12-31|2002-11-01|2003-01-30|t|2002-12-31
298|30|2003-12-31|2003-11-01|2004-01-30|t|2003-12-31
300|30|2004-12-31|2004-11-01|2005-01-30|t|2004-12-31
302|30|2005-12-31|2005-11-01|2006-01-30|t|2005-12-31
304|30|2006-10-31|2006-09-01|2006-11-30|t|2006-10-31
306|30|2007-11-26|2007-10-01|2007-12-26|t|2007-11-26
308|30|2008-12-11|2008-11-01|2009-01-10|t|2008-12-11
310|30|2009-12-31|2009-11-01|2010-01-30|t|2009-12-31
312|30|2010-12-30|2010-11-01|2011-01-29|t|2010-12-30
314|30|2011-12-30|2011-11-01|2012-01-29|t|2011-12-30
316|30|2012-12-28|2012-11-01|2013-01-27|t|2012-12-28
318|30|2014-12-31|2014-11-01|2015-01-30|t|2014-12-31
320|30|2015-12-31|2015-11-01|2016-01-30|t|2015-12-31
323|31|2006-05-08|2006-04-01|2006-06-07|t|2006-05-08
631|43|2010-06-11|2010-05-01|2010-07-11|t|2010-06-11
430|38|2006-09-02|2006-08-01|2006-10-02|t|2006-09-02
432|38|2007-12-01|2007-11-01|2007-12-31|t|2007-12-01
434|38|2008-12-31|2008-11-01|2009-01-30|t|2008-12-31
340|32|2016-08-23|2016-07-01|2016-09-22|t|2016-08-23
1226|95|2005-10-30|2005-09-01|2005-11-29|t|2005-10-30
2083|152|2014-08-25|2014-07-01|2014-09-24|t|2014-08-25
436|38|2009-12-31|2009-11-01|2010-01-30|t|2009-12-31
438|38|2010-12-31|2010-11-01|2011-01-30|t|2010-12-31
440|38|2011-12-31|2011-11-01|2012-01-30|t|2011-12-31
442|38|2012-12-31|2012-11-01|2013-01-30|t|2012-12-31
444|38|2013-12-31|2013-11-01|2014-01-30|t|2013-12-31
446|38|2014-12-31|2014-11-01|2015-01-30|t|2014-12-31
448|38|2015-12-31|2015-11-01|2016-01-30|t|2015-12-31
372|33|2018-06-27|2018-05-01|2018-07-27|f|
450|38|2016-12-19|2016-11-01|2017-01-18|t|2016-12-19
633|43|2011-05-26|2011-04-01|2011-06-25|t|2011-05-26
635|43|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
637|43|2013-05-17|2013-04-01|2013-06-16|t|2013-05-17
389|35|2013-10-10|2013-09-01|2013-11-09|t|2013-10-10
391|35|2014-12-31|2014-11-01|2015-01-30|t|2014-12-31
393|35|2015-12-31|2015-11-01|2016-01-30|t|2015-12-31
395|35|2016-12-31|2016-11-01|2017-01-30|t|2016-12-31
397|35|2017-04-10|2017-03-01|2017-05-10|t|2017-04-10
400|36|2007-02-25|2007-01-01|2007-03-27|t|2007-02-25
402|36|2008-05-24|2008-04-01|2008-06-23|t|2008-05-24
404|36|2009-06-30|2009-05-01|2009-07-30|t|2009-06-30
406|36|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
408|36|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
410|36|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
412|36|2013-06-30|2013-05-01|2013-07-30|t|2013-06-30
414|36|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
416|36|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
418|36|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
639|43|2014-06-13|2014-05-01|2014-07-13|t|2014-06-13
641|43|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
643|43|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
1599|121|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
1228|95|2006-10-30|2006-09-01|2006-11-29|t|2006-10-30
521|41|1996-04-24|1996-03-01|1996-05-24|t|1996-04-24
523|41|1997-06-30|1997-05-01|1997-07-30|t|1997-06-30
525|41|1998-06-30|1998-05-01|1998-07-30|t|1998-06-30
527|41|1999-06-30|1999-05-01|1999-07-30|t|1999-06-30
529|41|2000-06-30|2000-05-01|2000-07-30|t|2000-06-30
531|41|2001-06-30|2001-05-01|2001-07-30|t|2001-06-30
533|41|2002-06-29|2002-05-01|2002-07-29|t|2002-06-29
535|41|2003-06-30|2003-05-01|2003-07-30|t|2003-06-30
537|41|2004-06-30|2004-05-01|2004-07-30|t|2004-06-30
539|41|2005-06-30|2005-05-01|2005-07-30|t|2005-06-30
541|41|2006-06-30|2006-05-01|2006-07-30|t|2006-06-30
543|41|2007-06-22|2007-05-01|2007-07-22|t|2007-06-22
545|41|2008-06-30|2008-05-01|2008-07-30|t|2008-06-30
547|41|2009-06-04|2009-05-01|2009-07-04|t|2009-06-04
549|41|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
551|41|2011-06-01|2011-05-01|2011-07-01|t|2011-06-01
553|41|2012-06-29|2012-05-01|2012-07-29|t|2012-06-29
555|41|2013-06-30|2013-05-01|2013-07-30|t|2013-06-30
557|41|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
559|41|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
561|41|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
1230|95|2007-10-30|2007-09-01|2007-11-29|t|2007-10-30
566|42|1998-09-30|1998-08-01|1998-10-30|t|1998-09-30
650|44|2017-07-10|2017-06-01|2017-08-09|t|2017-07-10
653|45|2007-01-27|2006-12-01|2007-02-26|t|2007-01-27
655|45|2008-04-25|2008-03-01|2008-05-25|t|2008-04-25
657|45|2009-06-30|2009-05-01|2009-07-30|t|2009-06-30
659|45|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
661|45|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
663|45|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
665|45|2013-06-30|2013-05-01|2013-07-30|t|2013-06-30
667|45|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
669|45|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
605|42|2018-04-04|2018-03-01|2018-05-04|f|
607|43|1998-02-04|1998-01-01|1998-03-06|t|1998-02-04
609|43|1999-05-03|1999-04-01|1999-06-02|t|1999-05-03
611|43|2000-06-30|2000-05-01|2000-07-30|t|2000-06-30
613|43|2001-06-30|2001-05-01|2001-07-30|t|2001-06-30
615|43|2002-06-30|2002-05-01|2002-07-30|t|2002-06-30
617|43|2003-06-30|2003-05-01|2003-07-30|t|2003-06-30
619|43|2004-06-30|2004-05-01|2004-07-30|t|2004-06-30
621|43|2005-06-30|2005-05-01|2005-07-30|t|2005-06-30
623|43|2006-06-13|2006-05-01|2006-07-13|t|2006-06-13
625|43|2007-05-22|2007-04-01|2007-06-21|t|2007-05-22
627|43|2008-06-18|2008-05-01|2008-07-18|t|2008-06-18
629|43|2009-04-16|2009-03-01|2009-05-16|t|2009-04-16
671|45|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
673|45|2017-07-28|2017-06-01|2017-08-27|t|2017-07-28
1601|121|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
696|46|2014-09-30|2014-08-01|2014-10-30|t|2014-09-30
699|47|2008-06-11|2008-05-01|2008-07-11|t|2008-06-11
701|47|2009-06-30|2009-05-01|2009-07-30|t|2009-06-30
325|31|2007-06-30|2007-05-01|2007-07-30|t|2007-06-30
327|31|2008-06-30|2008-05-01|2008-07-30|t|2008-06-30
329|31|2009-06-30|2009-05-01|2009-07-30|t|2009-06-30
331|31|2010-03-22|2010-02-01|2010-04-21|t|2010-03-22
336|32|2014-09-30|2014-08-01|2014-10-30|t|2014-09-30
338|32|2015-09-03|2015-08-01|2015-10-03|t|2015-09-03
898|63|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
1232|95|2008-10-31|2008-09-01|2008-11-30|t|2008-10-31
345|33|2004-12-26|2004-11-01|2005-01-25|t|2004-12-26
347|33|2005-12-31|2005-11-01|2006-01-30|t|2005-12-31
349|33|2006-12-30|2006-11-01|2007-01-29|t|2006-12-30
351|33|2007-12-31|2007-11-01|2008-01-30|t|2007-12-31
353|33|2008-12-30|2008-11-01|2009-01-29|t|2008-12-30
355|33|2009-12-31|2009-11-01|2010-01-30|t|2009-12-31
357|33|2010-12-31|2010-11-01|2011-01-30|t|2010-12-31
359|33|2011-12-31|2011-11-01|2012-01-30|t|2011-12-31
361|33|2012-12-31|2012-11-01|2013-01-30|t|2012-12-31
363|33|2013-12-31|2013-11-01|2014-01-30|t|2013-12-31
365|33|2014-12-31|2014-11-01|2015-01-30|t|2014-12-31
367|33|2015-12-31|2015-11-01|2016-01-30|t|2015-12-31
369|33|2016-12-31|2016-11-01|2017-01-30|t|2016-12-31
371|33|2017-06-27|2017-05-01|2017-07-27|t|2017-06-27
374|34|2011-04-07|2011-03-01|2011-05-07|t|2011-04-07
376|34|2012-03-30|2012-02-01|2012-04-29|t|2012-03-30
378|34|2013-03-31|2013-02-01|2013-04-30|t|2013-03-31
380|34|2014-03-31|2014-02-01|2014-04-30|t|2014-03-31
382|34|2015-03-31|2015-02-01|2015-04-30|t|2015-03-31
384|34|2016-03-31|2016-02-01|2016-04-30|t|2016-03-31
386|34|2016-09-30|2016-08-01|2016-10-30|t|2016-09-30
455|39|2006-10-31|2006-09-01|2006-11-30|t|2006-10-31
457|39|2007-12-31|2007-11-01|2008-01-30|t|2007-12-31
459|39|2008-12-31|2008-11-01|2009-01-30|t|2008-12-31
461|39|2009-12-31|2009-11-01|2010-01-30|t|2009-12-31
463|39|2010-12-30|2010-11-01|2011-01-29|t|2010-12-30
465|39|2011-12-30|2011-11-01|2012-01-29|t|2011-12-30
1234|95|2009-10-31|2009-09-01|2009-11-30|t|2009-10-31
467|39|2012-12-31|2012-11-01|2013-01-30|t|2012-12-31
469|39|2013-12-31|2013-11-01|2014-01-30|t|2013-12-31
471|39|2014-12-31|2014-11-01|2015-01-30|t|2014-12-31
473|39|2015-12-31|2015-11-01|2016-01-30|t|2015-12-31
475|39|2016-12-19|2016-11-01|2017-01-18|t|2016-12-19
477|39|2017-06-02|2017-05-01|2017-07-02|t|2017-06-02
2675|203|2004-06-30|2004-05-01|2004-07-30|t|2004-06-30
490|40|2003-06-30|2003-05-01|2003-07-30|t|2003-06-30
492|40|2004-06-30|2004-05-01|2004-07-30|t|2004-06-30
494|40|2005-06-30|2005-05-01|2005-07-30|t|2005-06-30
496|40|2006-06-30|2006-05-01|2006-07-30|t|2006-06-30
498|40|2007-06-21|2007-05-01|2007-07-21|t|2007-06-21
500|40|2008-06-30|2008-05-01|2008-07-30|t|2008-06-30
502|40|2009-06-09|2009-05-01|2009-07-09|t|2009-06-09
504|40|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
506|40|2011-06-01|2011-05-01|2011-07-01|t|2011-06-01
508|40|2012-06-29|2012-05-01|2012-07-29|t|2012-06-29
510|40|2013-06-30|2013-05-01|2013-07-30|t|2013-06-30
512|40|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
514|40|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
516|40|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
648|44|2016-12-31|2016-11-01|2017-01-30|t|2016-12-31
651|44|2018-07-10|2018-06-01|2018-08-09|f|
674|45|2018-07-28|2018-06-01|2018-08-27|f|
676|46|2004-05-25|2004-04-01|2004-06-24|t|2004-05-25
568|42|1999-09-30|1999-08-01|1999-10-30|t|1999-09-30
570|42|2000-09-30|2000-08-01|2000-10-30|t|2000-09-30
572|42|2001-09-30|2001-08-01|2001-10-30|t|2001-09-30
574|42|2002-09-30|2002-08-01|2002-10-30|t|2002-09-30
576|42|2003-09-30|2003-08-01|2003-10-30|t|2003-09-30
578|42|2004-09-30|2004-08-01|2004-10-30|t|2004-09-30
580|42|2005-09-30|2005-08-01|2005-10-30|t|2005-09-30
582|42|2006-09-30|2006-08-01|2006-10-30|t|2006-09-30
584|42|2007-09-30|2007-08-01|2007-10-30|t|2007-09-30
586|42|2008-09-30|2008-08-01|2008-10-30|t|2008-09-30
588|42|2009-09-30|2009-08-01|2009-10-30|t|2009-09-30
590|42|2010-09-30|2010-08-01|2010-10-30|t|2010-09-30
592|42|2011-09-30|2011-08-01|2011-10-30|t|2011-09-30
594|42|2012-09-30|2012-08-01|2012-10-30|t|2012-09-30
596|42|2013-09-30|2013-08-01|2013-10-30|t|2013-09-30
598|42|2014-09-30|2014-08-01|2014-10-30|t|2014-09-30
600|42|2015-09-30|2015-08-01|2015-10-30|t|2015-09-30
602|42|2016-09-30|2016-08-01|2016-10-30|t|2016-09-30
604|42|2017-04-04|2017-03-01|2017-05-04|t|2017-04-04
678|46|2005-08-25|2005-07-01|2005-09-24|t|2005-08-25
680|46|2006-09-30|2006-08-01|2006-10-30|t|2006-09-30
682|46|2007-09-30|2007-08-01|2007-10-30|t|2007-09-30
684|46|2008-09-30|2008-08-01|2008-10-30|t|2008-09-30
686|46|2009-09-30|2009-08-01|2009-10-30|t|2009-09-30
688|46|2010-09-30|2010-08-01|2010-10-30|t|2010-09-30
690|46|2011-09-30|2011-08-01|2011-10-30|t|2011-09-30
692|46|2012-09-30|2012-08-01|2012-10-30|t|2012-09-30
694|46|2013-09-30|2013-08-01|2013-10-30|t|2013-09-30
703|47|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
705|47|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
707|47|2012-06-30|2012-05-01|2012-07-30|t|2012-06-30
709|47|2013-06-30|2013-05-01|2013-07-30|t|2013-06-30
711|47|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
713|47|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
715|47|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
2085|152|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
900|63|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
902|63|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
904|63|2017-06-30|2017-05-01|2017-07-30|t|2017-06-30
1236|95|2010-10-31|2010-09-01|2010-11-30|t|2010-10-31
4639|435|1999-09-25|1999-08-01|1999-10-25|t|1999-09-25
2105|153|2018-11-29|2018-10-01|2018-12-29|f|
4642|435|2002-12-31|2002-11-01|2003-01-30|t|2002-12-31
4644|435|2004-12-31|2004-11-01|2005-01-30|t|2004-12-31
922|65|1999-07-15|1999-06-01|1999-08-14|t|1999-07-15
924|65|2000-10-14|2000-09-01|2000-11-13|t|2000-10-14
926|65|2001-12-31|2001-11-01|2002-01-30|t|2001-12-31
928|65|2002-12-31|2002-11-01|2003-01-30|t|2002-12-31
930|65|2003-12-31|2003-11-01|2004-01-30|t|2003-12-31
932|65|2004-12-31|2004-11-01|2005-01-30|t|2004-12-31
934|65|2005-12-31|2005-11-01|2006-01-30|t|2005-12-31
936|65|2006-12-30|2006-11-01|2007-01-29|t|2006-12-30
938|65|2007-12-31|2007-11-01|2008-01-30|t|2007-12-31
941|66|2013-04-30|2013-03-01|2013-05-30|t|2013-04-30
398|35|2018-04-10|2018-03-01|2018-05-10|t|2018-04-19
943|66|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
945|66|2015-05-18|2015-04-01|2015-06-17|t|2015-05-18
947|66|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
955|67|2018-04-02|2018-03-01|2018-05-02|f|
2764|209|2017-02-18|2017-03-01|2017-04-19|t|2017-02-18
974|68|2018-05-25|2018-04-01|2018-06-24|f|
994|71|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
996|70|2004-09-27|2004-08-01|2004-10-27|t|2004-09-27
998|70|2005-12-26|2005-11-01|2006-01-25|t|2005-12-26
1000|70|2006-12-30|2006-11-01|2007-01-29|t|2006-12-30
1002|70|2007-12-31|2007-11-01|2008-01-30|t|2007-12-31
1004|70|2008-12-31|2008-11-01|2009-01-30|t|2008-12-31
1006|70|2009-12-31|2009-11-01|2010-01-30|t|2009-12-31
1008|70|2010-12-31|2010-11-01|2011-01-30|t|2010-12-31
1010|70|2011-12-30|2011-11-01|2012-01-29|t|2011-12-30
1012|70|2012-12-31|2012-11-01|2013-01-30|t|2012-12-31
1014|70|2013-12-31|2013-11-01|2014-01-30|t|2013-12-31
1016|70|2014-12-31|2014-11-01|2015-01-30|t|2014-12-31
1018|70|2015-12-31|2015-11-01|2016-01-30|t|2015-12-31
1020|70|2016-12-31|2016-11-01|2017-01-30|t|2016-12-31
1021|70|2017-12-31|2017-11-01|2018-01-30|f|
1023|72|2002-02-21|2002-01-01|2002-03-23|t|2002-02-21
1025|72|2003-04-25|2003-03-01|2003-05-25|t|2003-04-25
1027|72|2004-04-26|2004-03-01|2004-05-26|t|2004-04-26
1029|72|2005-06-30|2005-05-01|2005-07-30|t|2005-06-30
1031|72|2006-06-30|2006-05-01|2006-07-30|t|2006-06-30
1033|72|2007-06-30|2007-05-01|2007-07-30|t|2007-06-30
